method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,step_index,unit_index,resource_type,unit_order,unit_order_position,selected_action,selected_target,selected_noop,base_action_legal,conditional_action_legal,ammo_before,cooldown_before,energy_before,num_base_legal_targets,num_conditional_legal_targets,num_conditional_high_threat_targets,prefix_denied_target_count,avoidable_noop,selected_high_threat,target_alive,target_threat,target_payload,target_time_to_impact,target_distance,hit_probability,damage_potential,expected_damage_reduction,best_expected_damage_reduction,matching_efficiency,target_already_selected_by_prefix,shot_fired,hit,target_intercepted,target_status_after
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,36,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,36,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,2,2,0,0,True,False,,,,,,,,,0.68246673683351,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,36,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,37,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,37,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,2,2,0,0,True,False,,,,,,,,,0.6721965996600886,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,37,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,38,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,38,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.3544224807690408,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,38,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,39,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,39,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.3616455069675277,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,39,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,40,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,40,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.36842419400926063,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,40,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,41,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,41,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.3746108901721129,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,41,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,42,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,42,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.38000857489006307,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,42,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,43,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,43,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.38436862382881043,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,43,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,44,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,44,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.38741017497015623,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,44,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,45,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,45,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.38887657390137736,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,45,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,46,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,46,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.3886209758205297,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,46,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,47,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,47,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.386670185148949,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,47,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,48,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,48,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.383212258302993,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,48,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,49,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,49,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,1,1,0,0,True,False,,,,,,,,,0.3785191029320469,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,49,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
