threshold,passed_seed_count,minimum_seed_constraint_margin,mean_balanced_accuracy,minimum_worst_batch_engage_recall,minimum_worst_batch_noop_recall,minimum_worst_scenario_engage_recall,minimum_worst_scenario_noop_recall
-2.5169471502304077,0,-0.65,0.5608695652173913,1.0,0.0,1.0,0.05555555555555555
-2.505552291870117,0,-0.65,0.5623188405797102,1.0,0.0,1.0,0.05555555555555555
-2.4949220418930054,0,-0.65,0.563768115942029,1.0,0.0,1.0,0.05555555555555555
-2.4714138507843018,0,-0.65,0.5652173913043478,1.0,0.0,1.0,0.07407407407407407
-2.446356773376465,0,-0.65,0.5666666666666667,1.0,0.0,1.0,0.07407407407407407
-2.444429874420166,0,-0.65,0.5681159420289855,1.0,0.0,1.0,0.07407407407407407
-2.436636447906494,0,-0.65,0.5695652173913043,1.0,0.0,1.0,0.07407407407407407
-2.4246069192886353,0,-0.65,0.5710144927536231,1.0,0.0,1.0,0.07407407407407407
-2.4161174297332764,0,-0.65,0.572463768115942,1.0,0.0,1.0,0.07407407407407407
-2.4083926677703857,0,-0.65,0.5700127877237852,0.9583333333333334,0.0,0.9615384615384616,0.07407407407407407
-2.3950881958007812,0,-0.65,0.571462063086104,0.9583333333333334,0.0,0.9615384615384616,0.07407407407407407
-2.378890872001648,0,-0.65,0.5729113384484229,0.9583333333333334,0.0,0.9615384615384616,0.09259259259259259
-2.3708598613739014,0,-0.65,0.5743606138107417,0.9583333333333334,0.0,0.9615384615384616,0.09259259259259259
-2.3667455911636353,0,-0.65,0.5758098891730605,0.9583333333333334,0.0,0.9615384615384616,0.09259259259259259
-2.358697533607483,0,-0.65,0.5772591645353794,0.9583333333333334,0.0,0.9615384615384616,0.09259259259259259
-2.348932385444641,0,-0.65,0.5787084398976982,0.9583333333333334,0.0,0.9615384615384616,0.09259259259259259
-2.3300371170043945,0,-0.65,0.580157715260017,0.9583333333333334,0.0,0.9615384615384616,0.09259259259259259
-2.3144813776016235,0,-0.65,0.5816069906223359,0.9583333333333334,0.0,0.9615384615384616,0.09259259259259259
-2.3123127222061157,0,-0.65,0.5830562659846548,0.9583333333333334,0.0,0.9615384615384616,0.09259259259259259
-2.3069242238998413,0,-0.65,0.5845055413469735,0.9583333333333334,0.0,0.9615384615384616,0.09259259259259259
-2.292031764984131,0,-0.65,0.5859548167092924,0.9583333333333334,0.0,0.9615384615384616,0.09259259259259259
-2.2719688415527344,0,-0.65,0.5874040920716114,0.9583333333333334,0.0,0.9615384615384616,0.10344827586206896
-2.261267304420471,0,-0.65,0.5888533674339301,0.9583333333333334,0.0,0.9615384615384616,0.10344827586206896
-2.254277229309082,0,-0.65,0.5903026427962489,0.9583333333333334,0.0,0.9615384615384616,0.10344827586206896
-2.2459007501602173,0,-0.65,0.5917519181585678,0.9583333333333334,0.0,0.9615384615384616,0.10344827586206896
-2.239078998565674,0,-0.65,0.5893009377664109,0.9583333333333334,0.0,0.9615384615384616,0.10344827586206896
-2.2303624153137207,0,-0.65,0.5907502131287297,0.9583333333333334,0.0,0.9615384615384616,0.10344827586206896
-2.2154293060302734,0,-0.65,0.5921994884910485,0.9583333333333334,0.0,0.9615384615384616,0.10344827586206896
-2.202291488647461,0,-0.65,0.5936487638533675,0.9583333333333334,0.0,0.9615384615384616,0.10344827586206896
-2.198192000389099,0,-0.65,0.5950980392156863,0.9583333333333334,0.0,0.9615384615384616,0.10344827586206896
-2.193713903427124,0,-0.65,0.5965473145780051,0.9583333333333334,0.0,0.9615384615384616,0.10344827586206896
-2.189142107963562,0,-0.65,0.597996589940324,0.9583333333333334,0.0,0.9615384615384616,0.12962962962962962
-2.1598161458969116,0,-0.65,0.5994458653026428,0.9583333333333334,0.0,0.9615384615384616,0.12962962962962962
-2.1262084245681763,0,-0.65,0.6008951406649616,0.9583333333333334,0.0,0.9615384615384616,0.12962962962962962
-2.1174689531326294,0,-0.65,0.6023444160272805,0.9583333333333334,0.0,0.9615384615384616,0.12962962962962962
-2.110918402671814,0,-0.65,0.6037936913895993,0.9583333333333334,0.0,0.9615384615384616,0.14814814814814814
-2.081226110458374,0,-0.65,0.6052429667519181,0.9583333333333334,0.0,0.9615384615384616,0.14814814814814814
-2.054028034210205,0,-0.65,0.606692242114237,0.9583333333333334,0.0,0.9615384615384616,0.16666666666666666
-2.0511386394500732,0,-0.65,0.6081415174765558,0.9583333333333334,0.0,0.9615384615384616,0.16666666666666666
-2.045730233192444,0,-0.65,0.6095907928388747,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-2.038725256919861,0,-0.65,0.6110400682011935,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-2.0292627811431885,0,-0.65,0.6124893435635124,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-2.01759135723114,0,-0.65,0.6139386189258312,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-2.005186080932617,0,-0.65,0.61538789428815,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
-1.991848886013031,0,-0.65,0.616837169650469,0.9583333333333334,0.0,0.9615384615384616,0.1724137931034483
