objective,model_seed,threshold,count,engage_count,noop_count,accuracy,balanced_accuracy,engage_recall,noop_recall,false_noop_rate,wasteful_engage_rate,worst_batch_engage_recall,worst_batch_noop_recall,worst_scenario_engage_recall,worst_scenario_noop_recall,safety_sign_accuracy,engage_margin,noop_margin,balanced_accuracy_margin,safety_sign_margin,minimum_constraint_margin,predicted_engage_count,passed_check_count,feasible,pareto_frontier,check_balanced_accuracy,check_engage_recall,check_noop_recall,check_batch_engage_recall,check_batch_noop_recall,check_scenario_engage_recall,check_scenario_noop_recall,check_safety_sign_accuracy
scenario_robust_reliable_cost,22,-0.812517374753952,183,68,115,0.6120218579234973,0.6822890025575448,0.9558823529411765,0.40869565217391307,0.04411764705882353,0.591304347826087,0.9166666666666666,0.0,0.9285714285714286,0.27586206896551724,0.7182320441988951,0.31666666666666665,-0.65,-0.01771099744245519,0.018232044198895125,-0.65,133,4,False,False,False,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.7824784517288208,183,68,115,0.6174863387978142,0.6866368286445013,0.9558823529411765,0.41739130434782606,0.04411764705882353,0.5826086956521739,0.9166666666666666,0.0,0.9285714285714286,0.27586206896551724,0.7182320441988951,0.31666666666666665,-0.65,-0.013363171355498693,0.018232044198895125,-0.65,132,4,False,False,False,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.7553869187831879,183,68,115,0.6120218579234973,0.6792838874680307,0.9411764705882353,0.41739130434782606,0.058823529411764705,0.5826086956521739,0.9130434782608695,0.0,0.9285714285714286,0.27586206896551724,0.7182320441988951,0.31304347826086953,-0.65,-0.020716112531969255,0.018232044198895125,-0.65,131,4,False,False,False,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.7234786152839661,183,68,115,0.6174863387978142,0.6836317135549872,0.9411764705882353,0.4260869565217391,0.058823529411764705,0.5739130434782609,0.9130434782608695,0.0,0.9285714285714286,0.27586206896551724,0.7182320441988951,0.31304347826086953,-0.65,-0.01636828644501276,0.018232044198895125,-0.65,130,4,False,False,False,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.6852726638317108,183,68,115,0.6229508196721312,0.6879795396419437,0.9411764705882353,0.43478260869565216,0.058823529411764705,0.5652173913043478,0.9130434782608695,0.0,0.9285714285714286,0.27586206896551724,0.7182320441988951,0.31304347826086953,-0.65,-0.012020460358056262,0.018232044198895125,-0.65,129,4,False,False,False,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.6598089337348938,183,68,115,0.6284153005464481,0.6923273657289002,0.9411764705882353,0.4434782608695652,0.058823529411764705,0.5565217391304348,0.9130434782608695,0.025,0.9285714285714286,0.27586206896551724,0.7182320441988951,0.31304347826086953,-0.625,-0.007672634271099765,0.018232044198895125,-0.625,128,4,False,False,False,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.6376579105854034,183,68,115,0.6338797814207651,0.6966751918158568,0.9411764705882353,0.45217391304347826,0.058823529411764705,0.5478260869565217,0.9130434782608695,0.05,0.9285714285714286,0.27586206896551724,0.7182320441988951,0.31304347826086953,-0.6,-0.0033248081841431576,0.018232044198895125,-0.6,127,4,False,False,False,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.621583104133606,183,68,115,0.639344262295082,0.7010230179028133,0.9411764705882353,0.4608695652173913,0.058823529411764705,0.5391304347826087,0.9130434782608695,0.05,0.9285714285714286,0.27586206896551724,0.7182320441988951,0.31304347826086953,-0.6,0.001023017902813339,0.018232044198895125,-0.6,126,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.5919460952281952,183,68,115,0.644808743169399,0.7053708439897698,0.9411764705882353,0.46956521739130436,0.058823529411764705,0.5304347826086957,0.9130434782608695,0.075,0.9285714285714286,0.27586206896551724,0.7182320441988951,0.31304347826086953,-0.5750000000000001,0.005370843989769836,0.018232044198895125,-0.5750000000000001,125,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.5623369514942169,183,68,115,0.6502732240437158,0.7097186700767264,0.9411764705882353,0.4782608695652174,0.058823529411764705,0.5217391304347826,0.9130434782608695,0.1,0.9285714285714286,0.3103448275862069,0.7182320441988951,0.31304347826086953,-0.55,0.009718670076726443,0.018232044198895125,-0.55,124,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.5602520704269409,183,68,115,0.6557377049180327,0.7140664961636829,0.9411764705882353,0.48695652173913045,0.058823529411764705,0.5130434782608696,0.9130434782608695,0.1,0.9285714285714286,0.3103448275862069,0.7182320441988951,0.31304347826086953,-0.55,0.01406649616368294,0.018232044198895125,-0.55,123,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.5395281910896301,183,68,115,0.6612021857923497,0.7184143222506394,0.9411764705882353,0.4956521739130435,0.058823529411764705,0.5043478260869565,0.9130434782608695,0.125,0.9285714285714286,0.3448275862068966,0.7182320441988951,0.31304347826086953,-0.525,0.018414322250639437,0.018232044198895125,-0.525,122,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.5100864470005035,183,68,115,0.6666666666666666,0.7227621483375959,0.9411764705882353,0.5043478260869565,0.058823529411764705,0.4956521739130435,0.9130434782608695,0.125,0.9285714285714286,0.3448275862068966,0.7182320441988951,0.31304347826086953,-0.525,0.022762148337595933,0.018232044198895125,-0.525,121,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.482018306851387,183,68,115,0.6721311475409836,0.7271099744245524,0.9411764705882353,0.5130434782608696,0.058823529411764705,0.48695652173913045,0.9130434782608695,0.15,0.9285714285714286,0.3448275862068966,0.7182320441988951,0.31304347826086953,-0.5,0.02710997442455243,0.018232044198895125,-0.5,120,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.46227990090847015,183,68,115,0.6775956284153005,0.7314578005115089,0.9411764705882353,0.5217391304347826,0.058823529411764705,0.4782608695652174,0.9130434782608695,0.175,0.9285714285714286,0.3448275862068966,0.7182320441988951,0.31304347826086953,-0.47500000000000003,0.03145780051150893,0.018232044198895125,-0.47500000000000003,119,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.45566971600055695,183,68,115,0.6830601092896175,0.7358056265984655,0.9411764705882353,0.5304347826086957,0.058823529411764705,0.46956521739130436,0.9130434782608695,0.2,0.9285714285714286,0.3793103448275862,0.7182320441988951,0.31304347826086953,-0.45,0.035805626598465534,0.018232044198895125,-0.45,118,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.4502497613430023,183,68,115,0.6885245901639344,0.740153452685422,0.9411764705882353,0.5391304347826087,0.058823529411764705,0.4608695652173913,0.9130434782608695,0.225,0.9285714285714286,0.3793103448275862,0.7182320441988951,0.31304347826086953,-0.42500000000000004,0.04015345268542203,0.018232044198895125,-0.42500000000000004,117,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.44125784933567047,183,68,115,0.6939890710382514,0.7445012787723785,0.9411764705882353,0.5478260869565217,0.058823529411764705,0.45217391304347826,0.9130434782608695,0.25,0.9285714285714286,0.41379310344827586,0.7182320441988951,0.31304347826086953,-0.4,0.04450127877237853,0.018232044198895125,-0.4,116,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.4220674932003021,183,68,115,0.6994535519125683,0.7488491048593351,0.9411764705882353,0.5565217391304348,0.058823529411764705,0.4434782608695652,0.9130434782608695,0.275,0.9285714285714286,0.41379310344827586,0.7182320441988951,0.31304347826086953,-0.375,0.048849104859335135,0.018232044198895125,-0.375,115,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.4029003530740738,183,68,115,0.7049180327868853,0.7531969309462916,0.9411764705882353,0.5652173913043478,0.058823529411764705,0.43478260869565216,0.9130434782608695,0.275,0.9285714285714286,0.4482758620689655,0.7182320441988951,0.31304347826086953,-0.375,0.05319693094629163,0.018232044198895125,-0.375,114,5,False,True,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.39437757432460785,183,68,115,0.7103825136612022,0.7575447570332481,0.9411764705882353,0.5739130434782609,0.058823529411764705,0.4260869565217391,0.9130434782608695,0.3,0.9285714285714286,0.4482758620689655,0.7182320441988951,0.31304347826086953,-0.35000000000000003,0.05754475703324813,0.018232044198895125,-0.35000000000000003,113,5,False,True,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.3861502408981323,183,68,115,0.7049180327868853,0.7501918158567775,0.9264705882352942,0.5739130434782609,0.07352941176470588,0.4260869565217391,0.875,0.3,0.8928571428571429,0.4482758620689655,0.7182320441988951,0.275,-0.35000000000000003,0.050191815856777566,0.018232044198895125,-0.35000000000000003,112,5,False,False,True,True,False,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.34712740778923035,183,68,115,0.7103825136612022,0.754539641943734,0.9264705882352942,0.5826086956521739,0.07352941176470588,0.41739130434782606,0.875,0.3,0.8928571428571429,0.4827586206896552,0.7182320441988951,0.275,-0.35000000000000003,0.05453964194373406,0.018232044198895125,-0.35000000000000003,111,5,False,False,True,True,False,True,False,True,False,True
