absolute_loss,centered_loss,epoch,loss,method,train_seed,validation_absolute_mae,validation_centered_mae,validation_score
0.17349618673324585,0.006385848391801119,27,0.17988203465938568,mean_return,17,0.8936741279422484,0.08043789749765452,0.9741120254399029
0.1608879119157791,0.006328260991722345,28,0.16721616685390472,mean_return,17,0.8866343140328053,0.08314609114412087,0.9697804051769262
0.14884121716022491,0.006704604718834162,29,0.15554581582546234,mean_return,17,0.8799299986692225,0.085732204036614,0.9656622027058365
0.140413299202919,0.007192282937467098,30,0.14760558307170868,mean_return,17,0.8741254317720089,0.08674385203562605,0.9608692838076349
0.13231851160526276,0.00729509349912405,31,0.13961359858512878,mean_return,17,0.86699259058881,0.08612787028334687,0.9531204608721568
0.1264502853155136,0.007021925877779722,32,0.13347220420837402,mean_return,17,0.8610363780998231,0.08467635269591015,0.9457127307957333
0.12207094579935074,0.006522005423903465,33,0.12859295308589935,mean_return,17,0.8547127271192023,0.08228491904468714,0.9369976461638895
0.11791355162858963,0.005986626725643873,34,0.12390017509460449,mean_return,17,0.8486777288182364,0.08020859291779679,0.9288863217360332
0.11565938591957092,0.0057730539701879025,35,0.12143243849277496,mean_return,17,0.8463861619760208,0.0791700562877344,0.9255562182637552
0.1131504625082016,0.005864083766937256,36,0.11901454627513885,mean_return,17,0.8418130227296113,0.07966670391928345,0.9214797266488948
0.11033640056848526,0.006086897570639849,37,0.11642330139875412,mean_return,17,0.8365439023377744,0.08037657439402045,0.9169204767317949
0.10756856203079224,0.00620462279766798,38,0.11377318203449249,mean_return,17,0.8368274128627362,0.07978797221689787,0.9166153850796341
0.1034313514828682,0.005999037530273199,39,0.10943038761615753,mean_return,17,0.8343149773097652,0.07908094942211194,0.9133959267318772
0.098838672041893,0.005709363147616386,40,0.10454803705215454,mean_return,17,0.8305136654801676,0.07938353225802908,0.9098971977381967
0.09449750930070877,0.005493274889886379,41,0.09999078512191772,mean_return,17,0.8321043080536573,0.0806991767261956,0.912803484779853
0.08979522436857224,0.005465527065098286,42,0.09526075422763824,mean_return,17,0.8300062977115125,0.08202069415150852,0.9120269918630209
0.08533591777086258,0.0055754822678864,43,0.09091140329837799,mean_return,17,0.8278749276663138,0.08278461236690786,0.9106595400332216
0.08154180645942688,0.005639235954731703,44,0.08718103915452957,mean_return,17,0.8318204229414045,0.08289043684898847,0.9147108597903929
0.07778558880090714,0.005598956253379583,45,0.08338454365730286,mean_return,17,0.8298783807446503,0.08161570098743057,0.9114940817320808
0.07406404614448547,0.0053558507934212685,46,0.07941989600658417,mean_return,17,0.8318377876650629,0.08001656334575712,0.91185435101082
0.07076683640480042,0.005162462592124939,47,0.07592929899692535,mean_return,17,0.8336148205877502,0.07948757260227655,0.9131023931900267
0.06818082928657532,0.005088452249765396,48,0.07326927781105042,mean_return,17,0.8332569539751776,0.08042716613313648,0.9136841201083141
0.06602272391319275,0.005135206505656242,49,0.07115793228149414,mean_return,17,0.8384636305635287,0.08110695224710027,0.919570582810629
