criticality_score,group_id,legal_relation_count,max_damage_potential,max_threat,mean_cost_delta,mean_harm_delta,mean_total_return_delta,min_time_to_impact,rollouts,scenario,source_seed,split,state_id,step_fraction,unit_index
3.2817088303064677,task14b/seed8/time_pressure/episode8/step20/unit2,4,0.7300373754802263,0.9438032148775619,0.16359293460845947,-4.3486528396606445,2.7197461128234863,0.41629442795967686,32,time_pressure,8,test,task14b/seed8/time_pressure/episode8/step20,0.4,2
3.212695613639872,task14b/seed8/time_pressure/episode46/step29/unit2,2,0.839647959548253,0.9802821309407024,0.5294182300567627,-14.02934455871582,12.571605682373047,0.5187583056190939,32,time_pressure,8,validation,task14b/seed8/time_pressure/episode46/step29,0.58,2
3.083988536661422,task14b/seed8/time_pressure/episode39/step15/unit2,3,1.295918562771619,0.90672869401288,0.5835884809494019,-17.837692260742188,20.190826416015625,3.319088619904161,32,time_pressure,8,validation,task14b/seed8/time_pressure/episode39/step15,0.3,2
3.0602267290997687,task14b/seed8/time_pressure/episode15/step13/unit0,6,1.163158743066868,0.9574658883166833,0.7139332890510559,-7.35114860534668,4.139740943908691,4.405686037077009,32,time_pressure,8,test,task14b/seed8/time_pressure/episode15/step13,0.26,0
3.0602267290997687,task14b/seed8/time_pressure/episode15/step13/unit2,6,1.163158743066868,0.9574658883166833,0.21957847476005554,-5.7290849685668945,7.122676849365234,4.405686037077009,32,time_pressure,8,test,task14b/seed8/time_pressure/episode15/step13,0.26,2
2.970243805646516,task14b/seed8/time_pressure/episode36/step25/unit2,2,1.2282729712748586,0.8804552953576229,0.2239249348640442,-7.176018714904785,9.703489303588867,0.5210791707979147,32,time_pressure,8,test,task14b/seed8/time_pressure/episode36/step25,0.5,2
2.9131670765116002,task14b/seed8/time_pressure/episode21/step23/unit2,3,1.0598932138741244,0.9197948492695179,0.3045195937156677,-4.412744045257568,2.85686993598938,0.14055163006372606,32,time_pressure,8,train,task14b/seed8/time_pressure/episode21/step23,0.46,2
2.7992166700129424,task14b/seed8/time_pressure/episode47/step21/unit2,1,1.1074609731727205,0.9724669256608798,0.3428639769554138,-14.353830337524414,9.244152069091797,0.21714643471460143,32,time_pressure,8,validation,task14b/seed8/time_pressure/episode47/step21,0.42,2
2.656918108573384,task14b/seed8/time_pressure/episode2/step23/unit2,1,1.0183580027511332,0.7002989631203993,0.5,-12.411237716674805,14.187209129333496,0.9475312860608109,32,time_pressure,8,test,task14b/seed8/time_pressure/episode2/step23,0.46,2
2.6467648884728963,task14b/seed8/time_pressure/episode36/step29/unit2,1,1.2282729712748586,0.8804552953576229,0.27456939220428467,-17.08788299560547,12.986787796020508,3.379668805084621,32,time_pressure,8,test,task14b/seed8/time_pressure/episode36/step29,0.58,2
