context_id,scenario,policy_seed,slot,episode_index,environment_seed,environment_step,observation_hash,unit_index,resource_type,unit_cost,legal_targets,target_probabilities,safety_score,resource_score
confirm_time_pressure_seed18_safety05_e00_t21_u0,time_pressure,18,safety,0,887407734,21,ebaf32dae674f7cf81cde2fa373f8630e443eae9e574c5eecfb09d6f56cb1ec7,0,missile,2.0,"1,2,3,4","0.248548537493,0.243798464537,0.255880683661,0.251772284508",4.4902251135921505,2.0
confirm_time_pressure_seed18_resource00_e14_t39_u1,time_pressure,18,resource,14,887407748,39,de3d4bf38cadb39e5c9dea0e781df8c02a128dc4a7abb0b98c24580b02f5c8df,1,missile,2.0,2,1,1.0861916469041129,2.0
confirm_time_pressure_seed18_resource01_e14_t38_u1,time_pressure,18,resource,14,887407748,38,e9d8d46396f1c72019cee940529d4b4c273b46e279364d3b231c30b4edf190e8,1,missile,2.0,2,1,0.39079298379304,2.0
confirm_time_pressure_seed18_resource02_e14_t39_u0,time_pressure,18,resource,14,887407748,39,de3d4bf38cadb39e5c9dea0e781df8c02a128dc4a7abb0b98c24580b02f5c8df,0,missile,2.0,2,1,1.0861916469041129,2.0
confirm_time_pressure_seed18_resource03_e14_t39_u2,time_pressure,18,resource,14,887407748,39,de3d4bf38cadb39e5c9dea0e781df8c02a128dc4a7abb0b98c24580b02f5c8df,2,laser,0.5,2,1,1.0861916469041129,1.25
confirm_time_pressure_seed18_resource04_e14_t38_u2,time_pressure,18,resource,14,887407748,38,e9d8d46396f1c72019cee940529d4b4c273b46e279364d3b231c30b4edf190e8,2,laser,0.5,2,1,0.39079298379304,1.25
confirm_time_pressure_seed18_resource05_e14_t37_u2,time_pressure,18,resource,14,887407748,37,65ef3f1e4d6fc05ad8d1b0d7a5b41e3e297d532380ca85179c6a04726fbe7df7,2,laser,0.5,2,1,0.23825683844290574,1.25
confirm_time_pressure_seed19_safety00_e15_t29_u2,time_pressure,19,safety,15,887417749,29,5394988486a9c84d5454335154583c8e519ccee53d830c129ad0d0d866a73d27,2,laser,0.5,"1,3","0.510967731476,0.489032268524",5.472098821257104,1.35
confirm_time_pressure_seed19_safety01_e15_t29_u1,time_pressure,19,safety,15,887417749,29,5394988486a9c84d5454335154583c8e519ccee53d830c129ad0d0d866a73d27,1,missile,2.0,"1,3","0.510524630547,0.489475339651",5.472098821257104,2.0
confirm_time_pressure_seed19_safety02_e15_t29_u0,time_pressure,19,safety,15,887417749,29,5394988486a9c84d5454335154583c8e519ccee53d830c129ad0d0d866a73d27,0,missile,2.0,"1,3","0.511021912098,0.488978117704",5.472098821257104,2.0
confirm_time_pressure_seed19_safety03_e04_t21_u0,time_pressure,19,safety,4,887417738,21,611819bb250d36d542232e4f4891a5c3cfdb735461dc9718248b3c457e5af333,0,missile,2.0,"0,1,4","0.329253047705,0.330715715885,0.34003123641",3.853148914422891,2.3333333333333335
confirm_time_pressure_seed19_safety04_e04_t21_u1,time_pressure,19,safety,4,887417738,21,611819bb250d36d542232e4f4891a5c3cfdb735461dc9718248b3c457e5af333,1,missile,2.0,"0,1","0.499296009541,0.500703990459",3.853148914422891,2.3333333333333335
confirm_time_pressure_seed19_safety05_e12_t20_u2,time_pressure,19,safety,12,887417746,20,6e68d1ccde343f6a8e7d4527f2ed2bbf521f4aca35ed47403e6c083d44a423b8,2,laser,0.5,"0,2,3,4","0.258523464203,0.239823639393,0.245271280408,0.2563816607",3.7586817746478283,1.95
