method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,total_reward,steps,num_targets,num_intercepted,num_leaked,total_damage,ammo_used,shots,hits,invalid_actions,unit_decisions,actionable_decisions,engagements,actionable_engagements,all_noop_episode,success,decision_time_seconds,decision_time_ms,high_threat_threshold,num_high_threat_targets,num_high_threat_leaked,high_threat_leak_rate,zone_weighted_damage,engaged_target_events,conflict_target_events,assignment_conflict_rate,overkill_assignments,overkill_rate,intercepted_damage_potential,damage_reduction_per_ammo,resource_cost
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,33,233,-110.44455550609456,32,5,0,3,2.741485183536485,0,0,0,0,96,95,0,0,True,False,0.06292720002238639,1.9664750006995746,0.8,2,1,0.5,2.741485183536485,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,34,234,-51.73330150789067,50,5,1,2,1.691365213304072,1,1,1,0,150,139,1,1,False,False,0.09430509998492198,1.8861019996984396,0.8,1,1,1.0,1.691365213304072,1,0,0.0,0,0.0,0.963248986777135,0.963248986777135,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,35,235,-24.33062241616628,50,5,3,1,0.7442444140853546,6,6,3,0,150,140,6,6,False,False,0.10155510000186041,2.031102000037208,0.8,2,1,0.5,0.7442444140853546,6,0,0.0,0,0.0,2.1032160931520014,0.3505360155253336,12.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,36,236,-33.65648463559292,35,5,3,2,1.259740607744758,3,3,3,0,105,102,3,3,False,False,0.07056980000197655,2.0162800000564727,0.8,0,0,0.0,1.259740607744758,3,0,0.0,0,0.0,1.9242184854569686,0.6414061618189896,6.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,37,237,-46.977644618590396,50,5,1,3,1.5212617846593681,1,1,1,0,150,149,1,1,False,False,0.097025900024164,1.94051800048328,0.8,3,2,0.6666666666666666,1.5212617846593681,1,0,0.0,0,0.0,0.8328841564622353,0.8328841564622353,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,38,238,-6.9441962003984905,40,5,4,1,0.5020703928219196,5,5,4,0,120,116,5,5,False,False,0.07977319998462917,1.9943299996157293,0.8,2,1,0.5,0.5020703928219196,5,0,0.0,0,0.0,2.7919813583337465,0.5583962716667493,10.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,39,239,-43.537004816732605,40,5,3,2,1.5892903535858511,5,5,3,0,120,109,5,5,False,False,0.07973580001998926,1.9933950004997314,0.8,3,1,0.3333333333333333,1.5892903535858511,5,0,0.0,0,0.0,1.9069470706685474,0.38138941413370947,10.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,40,240,-25.744045184108675,43,5,3,2,0.9663558958933665,5,5,3,0,129,112,5,5,False,False,0.08272639998904197,1.9238697671870224,0.8,1,0,0.0,0.9663558958933665,5,0,0.0,0,0.0,1.969551889444307,0.3939103778888614,10.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,41,241,-71.87686972420565,50,5,0,3,2.162562324140188,1,1,0,0,150,149,1,1,False,False,0.0985151000058977,1.9703020001179539,0.8,2,2,1.0,2.162562324140188,1,0,0.0,0,0.0,0.0,0.0,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,42,242,-46.76561253384322,50,5,0,2,1.3921870844614397,0,0,0,0,150,133,0,0,True,False,0.09472249996906612,1.8944499993813224,0.8,2,0,0.0,1.3921870844614397,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,43,243,-46.63591252179931,45,5,2,3,1.553216957381946,5,5,2,0,135,131,5,5,False,False,0.08621560002211481,1.9159022227136626,0.8,2,0,0.0,1.553216957381946,5,0,0.0,0,0.0,1.5528286598093537,0.31056573196187076,10.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,44,244,-19.910290225859292,38,5,3,2,0.9172734203545028,3,3,3,0,114,112,3,3,False,False,0.07115610002801986,1.8725289481057859,0.8,2,1,0.5,0.9172734203545028,3,0,0.0,0,0.0,2.229425612046871,0.7431418706822903,6.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,45,245,-18.604598775307526,44,5,4,1,0.7853909048078358,7,7,4,0,132,124,7,7,False,False,0.08816369999112794,2.0037204543438167,0.8,2,1,0.5,0.7853909048078358,7,0,0.0,0,0.0,2.4235693227039588,0.3462241889577084,12.5
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,46,246,-16.41283948430573,41,5,4,1,0.9329732826674432,5,5,4,0,123,116,5,5,False,False,0.08652700001402991,2.110414634488534,0.8,3,0,0.0,0.9329732826674432,5,0,0.0,0,0.0,3.024950353159995,0.604990070631999,10.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,47,247,-49.81357651373546,37,5,3,2,1.7742481573076816,5,5,3,0,111,103,5,5,False,False,0.07497040001908317,2.0262270275427885,0.8,2,1,0.5,1.7742481573076816,5,0,0.0,0,0.0,1.9502198576877694,0.3900439715375539,10.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,48,248,-34.73403256198035,50,5,2,2,1.2948814381143867,2,2,2,0,150,142,2,2,False,False,0.09170719998655841,1.8341439997311682,0.8,3,1,0.3333333333333333,1.2948814381143867,2,0,0.0,0,0.0,2.334664655033846,1.167332327516923,4.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,49,249,-104.28318839316262,27,5,0,3,2.5527729464387536,0,0,0,0,81,79,0,0,True,False,0.04906109998410102,1.8170777771889266,0.8,2,1,0.5,2.5527729464387536,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,8,250,0,250,-59.97295964996363,40,5,2,3,1.8494934112775456,4,4,2,0,120,110,4,4,False,False,0.07623709995823447,1.9059274989558617,0.8,0,0,0.0,1.8494934112775456,4,0,0.0,0,0.0,1.0451131929876256,0.2612782982469064,8.0
