method,train_scenario,run_index,train_seed,timesteps,probe_scenario,probe_states,actionable_decisions,engage_probability_mean,noop_probability_mean,noop_margin_mean,engagement_entropy_mean,conditional_target_entropy_mean,deterministic_engagement_rate,probe_value_mean
factorized_engagement_ar_ppo_order_012,medium,0,8,10240,medium,256,436,0.6795614957809448,0.3204385042190552,-0.05435602739453316,0.6268400549888611,0.734046995639801,1.0,-31.779434204101562
factorized_engagement_ar_ppo_order_012,medium,0,8,10240,time_pressure,256,445,0.6823605895042419,0.31763944029808044,0.022591589018702507,0.624885082244873,0.8416361808776855,1.0,-35.50212860107422
factorized_engagement_ar_ppo_order_012,medium,0,8,12032,all,768,1372,0.4833967089653015,0.5166032910346985,0.8359535336494446,0.6917763352394104,0.8171321153640747,0.28644314868804666,-33.692195892333984
factorized_engagement_ar_ppo_order_012,medium,0,8,12032,heterogeneity_pressure,256,451,0.4805980920791626,0.5194019079208374,0.8099024295806885,0.6915532946586609,0.7837980389595032,0.1951219512195122,-38.997474670410156
factorized_engagement_ar_ppo_order_012,medium,0,8,12032,medium,256,464,0.48295333981513977,0.5170466899871826,0.8218925595283508,0.691731333732605,0.7861589789390564,0.3103448275862069,-30.261844635009766
factorized_engagement_ar_ppo_order_012,medium,0,8,12032,time_pressure,256,457,0.4866086542606354,0.5133913159370422,0.8759390115737915,0.6920420527458191,0.8814758062362671,0.3522975929978118,-31.8172607421875
factorized_engagement_ar_ppo_order_012,medium,0,8,14080,all,768,1275,0.6070135235786438,0.3929865062236786,0.27005305886268616,0.6681743264198303,0.767052948474884,1.0,-33.470218658447266
factorized_engagement_ar_ppo_order_012,medium,0,8,14080,heterogeneity_pressure,256,404,0.6033984422683716,0.39660152792930603,0.23913729190826416,0.669437050819397,0.7183043360710144,1.0,-35.07280349731445
factorized_engagement_ar_ppo_order_012,medium,0,8,14080,medium,256,435,0.6065613627433777,0.3934387266635895,0.2481326460838318,0.6683393120765686,0.7270170450210571,1.0,-32.52301788330078
factorized_engagement_ar_ppo_order_012,medium,0,8,14080,time_pressure,256,436,0.6108142733573914,0.3891856372356415,0.3205699324607849,0.6668396592140198,0.8521676659584045,1.0,-32.81483459472656
factorized_engagement_ar_ppo_order_012,medium,0,8,16128,all,768,1302,0.6239043474197388,0.37609562277793884,0.2147652804851532,0.6615698337554932,0.7689506411552429,1.0,-30.32037353515625
factorized_engagement_ar_ppo_order_012,medium,0,8,16128,heterogeneity_pressure,256,417,0.6217458248138428,0.378254234790802,0.1861598640680313,0.6626006364822388,0.7276014089584351,1.0,-32.503684997558594
factorized_engagement_ar_ppo_order_012,medium,0,8,16128,medium,256,444,0.6244321465492249,0.37556779384613037,0.18852393329143524,0.6612510085105896,0.7381560206413269,1.0,-28.685779571533203
factorized_engagement_ar_ppo_order_012,medium,0,8,16128,time_pressure,256,441,0.6254140734672546,0.374585896730423,0.2682337760925293,0.6609160900115967,0.8390538692474365,1.0,-29.77165412902832
factorized_engagement_ar_ppo_order_012,medium,0,8,18176,all,768,1446,0.4495448172092438,0.5504551529884338,0.9580218195915222,0.6876117587089539,0.8454295992851257,0.0,-28.695432662963867
factorized_engagement_ar_ppo_order_012,medium,0,8,18176,heterogeneity_pressure,256,457,0.44893893599510193,0.5510610342025757,0.948158323764801,0.6874904632568359,0.8152411580085754,0.0,-27.909278869628906
factorized_engagement_ar_ppo_order_012,medium,0,8,18176,medium,256,497,0.4486747086048126,0.551325261592865,0.9153449535369873,0.6874639987945557,0.8009657859802246,0.0,-29.049232482910156
factorized_engagement_ar_ppo_order_012,medium,0,8,18176,time_pressure,256,492,0.4509865641593933,0.5490134358406067,1.0102943181991577,0.6878736615180969,0.9183863997459412,0.0,-29.127784729003906
factorized_engagement_ar_ppo_order_012,medium,0,8,20224,all,768,1446,0.40637317299842834,0.593626856803894,1.0968148708343506,0.6753313541412354,0.8394074440002441,0.0,-12.124163627624512
factorized_engagement_ar_ppo_order_012,medium,0,8,20224,heterogeneity_pressure,256,457,0.406989187002182,0.5930107831954956,1.078038215637207,0.6756041646003723,0.8094852566719055,0.0,-13.82180404663086
factorized_engagement_ar_ppo_order_012,medium,0,8,20224,medium,256,497,0.40564149618148804,0.594358503818512,1.0497862100601196,0.6750603914260864,0.7943153977394104,0.0,-10.409760475158691
factorized_engagement_ar_ppo_order_012,medium,0,8,20224,time_pressure,256,492,0.40654000639915466,0.5934600234031677,1.1617624759674072,0.6753518581390381,0.9127511978149414,0.0,-12.140922546386719
factorized_engagement_ar_ppo_order_012,medium,0,8,22016,all,768,1435,0.48449766635894775,0.5155023336410522,0.7440261244773865,0.6925261616706848,0.829974353313446,0.016724738675958188,-25.077043533325195
factorized_engagement_ar_ppo_order_012,medium,0,8,22016,heterogeneity_pressure,256,457,0.4851331412792206,0.5148668885231018,0.7072818279266357,0.6925713419914246,0.7932438850402832,0.019693654266958426,-25.611835479736328
factorized_engagement_ar_ppo_order_012,medium,0,8,22016,medium,256,486,0.48503217101097107,0.5149678587913513,0.7008745074272156,0.6925352215766907,0.7876034379005432,0.030864197530864196,-24.589439392089844
factorized_engagement_ar_ppo_order_012,medium,0,8,22016,time_pressure,256,492,0.4833795130252838,0.5166204571723938,0.8207818865776062,0.6924753189086914,0.9059460163116455,0.0,-25.029857635498047
factorized_engagement_ar_ppo_order_012,medium,0,8,24064,all,768,1446,0.4256763458251953,0.5743235945701599,1.0591704845428467,0.6804437041282654,0.8456470966339111,0.0,-17.290563583374023
factorized_engagement_ar_ppo_order_012,medium,0,8,24064,heterogeneity_pressure,256,457,0.42831021547317505,0.571689784526825,1.0136504173278809,0.6809213161468506,0.8144509196281433,0.0,-20.09084129333496
factorized_engagement_ar_ppo_order_012,medium,0,8,24064,medium,256,497,0.42972421646118164,0.5702757835388184,0.9921584725379944,0.6816100478172302,0.8000348210334778,0.0,-16.268112182617188
factorized_engagement_ar_ppo_order_012,medium,0,8,24064,time_pressure,256,492,0.41914102435112,0.5808590054512024,1.1691455841064453,0.678821861743927,0.9206997156143188,0.0,-15.512736320495605
factorized_engagement_ar_ppo_order_012,medium,0,8,26112,all,768,1290,0.5836905837059021,0.4163094460964203,0.31357938051223755,0.6786869764328003,0.7397236824035645,1.0,-35.08452224731445
factorized_engagement_ar_ppo_order_012,medium,0,8,26112,heterogeneity_pressure,256,416,0.5842254161834717,0.41577455401420593,0.2663530707359314,0.6784024834632874,0.6774426698684692,1.0,-38.73644256591797
factorized_engagement_ar_ppo_order_012,medium,0,8,26112,medium,256,432,0.5849441289901733,0.41505587100982666,0.2713761627674103,0.6782931089401245,0.7096202969551086,1.0,-35.40001678466797
