method,method_type,train_scenario,eval_scenario,run_index,train_seed,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate
autoregressive_ppo_order_120,learning,medium,time_pressure,0,0,1-2-0,1,missile,0,1768,141,0.07975113122171945,383,242,0.6318537859007833,44,375,0.11733333333333333,0.7188487907048577,0.10173897769837624,0.4882278241552491,0,1130,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,0,0,1-2-0,2,laser,1,1768,118,0.0667420814479638,1446,1328,0.9183955739972337,48,949,0.0505795574288725,0.7592748220494958,0.11789256174110718,0.7093382792600169,15,2938,0.0051055139550714775
autoregressive_ppo_order_120,learning,medium,time_pressure,0,0,1-2-0,0,missile,2,1768,143,0.08088235294117647,405,262,0.6469135802469136,52,285,0.1824561403508772,0.7458999028428622,0.1419083329137595,0.6358136628448153,78,1048,0.07442748091603053
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,1,missile,0,2303,141,0.061224489795918366,546,405,0.7417582417582418,54,428,0.1261682242990654,0.7437093044655548,0.0507358649372315,0.4610670234052241,0,1195,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,2,laser,1,2303,85,0.03690838037342597,1600,1515,0.946875,32,1100,0.02909090909090909,0.7363321417627937,0.05985149088411776,0.5576481681351209,6,2956,0.0020297699594046007
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,0,missile,2,2303,146,0.0633955709943552,353,207,0.5864022662889519,67,426,0.1572769953051643,0.7655625444234571,0.15201899723521234,0.5604447843762496,66,1044,0.06321839080459771
autoregressive_ppo_order_201,learning,medium,medium,0,0,2-0-1,2,laser,0,2330,0,0.0,1984,1984,1.0,0,1731,0.0,0.0,0.0,0.0,0,4532,0.0
autoregressive_ppo_order_201,learning,medium,medium,0,0,2-0-1,0,missile,1,2330,150,0.06437768240343347,155,5,0.03225806451612903,49,163,0.3006134969325153,0.743659996625207,0.1273168960551039,0.6409438235715887,0,442,0.0
autoregressive_ppo_order_201,learning,medium,medium,0,0,2-0-1,1,missile,2,2330,137,0.05879828326180257,646,509,0.7879256965944272,54,756,0.07142857142857142,0.7537456116758932,0.10049815416231565,0.5542103592077925,102,1959,0.05206738131699847
autoregressive_ppo_order_201,learning,medium,time_pressure,0,0,2-0-1,2,laser,0,1789,0,0.0,1494,1494,1.0,0,1070,0.0,0.0,0.0,0.0,0,3079,0.0
autoregressive_ppo_order_201,learning,medium,time_pressure,0,0,2-0-1,0,missile,1,1789,150,0.08384572386808273,163,13,0.07975460122699386,48,140,0.34285714285714286,0.7423824500425156,0.13909117267967222,0.684798980548273,0,435,0.0
autoregressive_ppo_order_201,learning,medium,time_pressure,0,0,2-0-1,1,missile,2,1789,126,0.07043040804918949,683,557,0.8155197657393851,47,674,0.06973293768545995,0.7369204700009344,0.11482933003134631,0.6155943764675871,111,1878,0.05910543130990415
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,2,laser,0,2297,0,0.0,1706,1706,1.0,0,1354,0.0,0.0,0.0,0.0,0,3338,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,0,missile,1,2297,150,0.06530256856769699,166,16,0.0963855421686747,58,216,0.26851851851851855,0.7449655519928312,0.1331890160088752,0.5283146800230565,0,548,0.0
