method,method_type,train_scenario,eval_scenario,run_index,train_seed,attribution,count,total_high_threat_leaks,rate
autoregressive_ppo_order_201,learning,medium,medium,2,2,never_legal,0,43,0.0
autoregressive_ppo_order_201,learning,medium,medium,2,2,unassigned,27,43,0.627906976744186
autoregressive_ppo_order_201,learning,medium,medium,2,2,prefix_denied,5,43,0.11627906976744186
autoregressive_ppo_order_201,learning,medium,medium,2,2,mismatched_resource,1,43,0.023255813953488372
autoregressive_ppo_order_201,learning,medium,medium,2,2,attempted_miss,10,43,0.23255813953488372
autoregressive_ppo_order_201,learning,medium,medium,2,2,resource_exhausted,0,43,0.0
autoregressive_ppo_order_201,learning,medium,time_pressure,2,2,never_legal,0,64,0.0
autoregressive_ppo_order_201,learning,medium,time_pressure,2,2,unassigned,43,64,0.671875
autoregressive_ppo_order_201,learning,medium,time_pressure,2,2,prefix_denied,8,64,0.125
autoregressive_ppo_order_201,learning,medium,time_pressure,2,2,mismatched_resource,1,64,0.015625
autoregressive_ppo_order_201,learning,medium,time_pressure,2,2,attempted_miss,12,64,0.1875
autoregressive_ppo_order_201,learning,medium,time_pressure,2,2,resource_exhausted,0,64,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,never_legal,0,52,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,unassigned,36,52,0.6923076923076923
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,prefix_denied,3,52,0.057692307692307696
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,mismatched_resource,1,52,0.019230769230769232
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,attempted_miss,12,52,0.23076923076923078
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,resource_exhausted,0,52,0.0
