context_id,scenario,policy_seed,slot,environment_step,observation_hash,unit_index,resource_type,unit_cost,unit_ammo,legal_target_count,target_index,target_weight,target_tti,hit_probability,coverability_before,coverability_after,fcrc_externality,n1_total_substitution_mean
confirm_medium_seed18_safety01_e14_t27_u2,medium,18,safety,27,4b77279553c44f63301a6e32f28f4fbf8c7b1c021684c78e703fa45d9ebbe02b,2,laser,0.5,1,2,4,0.5021179378862431,22.409859743192282,0.12130983387340198,0.15367478877915972,0.0,0.15367478877915972,0.5000000298023224
confirm_medium_seed18_safety02_e14_t26_u2,medium,18,safety,26,4e924241e713bf6daa47cccbb8d87c51de7977d3c6c0aa2d6687eafcaed334d5,2,laser,0.5,2,2,3,0.6538849438882546,2.485786348769081,0.21266096912730822,0.06091185643477478,0.06091185643477478,0.0,0.4999999701976776
confirm_medium_seed18_safety02_e14_t26_u2,medium,18,safety,26,4e924241e713bf6daa47cccbb8d87c51de7977d3c6c0aa2d6687eafcaed334d5,2,laser,0.5,2,2,4,0.5021179378862431,23.409861280754374,0.10453937877308236,0.1536747747183336,0.1536747747183336,0.0,0.4999999701976776
confirm_medium_seed18_safety03_e08_t26_u2,medium,18,safety,26,5aca4da8637bf90a3af89113fb06779d854a3fc0cd0e19aad5d0fd35b68bd00d,2,laser,0.5,4,1,3,0.39437364380982587,1.5330981231115002,0.1926700467196378,0.0,0.0,0.0,0.46875
confirm_medium_seed18_safety04_e14_t25_u2,medium,18,safety,25,cb6e127d80d5742e8d032e269ba1d6c7ac3327ad6dffd3493b81638f826643f6,2,laser,0.5,3,2,3,0.6538849438882546,3.485786876767982,0.18930025967684663,0.06091186286064826,0.06091186286064826,0.0,0.5000000149011612
confirm_medium_seed18_safety04_e14_t25_u2,medium,18,safety,25,cb6e127d80d5742e8d032e269ba1d6c7ac3327ad6dffd3493b81638f826643f6,2,laser,0.5,3,2,4,0.5021179378862431,24.409858520848154,0.08743038385564632,0.15367476601963326,0.15367476601963326,0.0,0.5000000149011612
confirm_medium_seed18_safety05_e08_t25_u2,medium,18,safety,25,0cacbf897d13acec83f1156ae124bd42630d7b9871729cb88877f49715628317,2,laser,0.5,5,1,3,0.39437364380982587,2.5330986151362147,0.1567478498979048,0.0,0.0,0.0,0.46875
confirm_medium_seed18_resource00_e12_t04_u0,medium,18,resource,4,17cbe656ed8f54a20a5db964ea4898bc77891c1218922eb6853aab3f6c471d1f,0,missile,2.0,1,3,0,0.662197095796834,30.689233467347233,0.08781351246553311,0.28684723138352186,0.12918939897031453,0.15765783241320733,1.9999999403953552
confirm_medium_seed18_resource00_e12_t04_u0,medium,18,resource,4,17cbe656ed8f54a20a5db964ea4898bc77891c1218922eb6853aab3f6c471d1f,0,missile,2.0,1,3,1,0.5250690278036874,19.348650202162922,0.35041987161075366,0.3558854595757708,0.19822762716256345,0.15765783241320733,1.9999999403953552
confirm_medium_seed18_resource00_e12_t04_u0,medium,18,resource,4,17cbe656ed8f54a20a5db964ea4898bc77891c1218922eb6853aab3f6c471d1f,0,missile,2.0,1,3,2,0.7859982432109167,39.17975814014948,0.20058294318704048,0.38222224619385553,0.2359998656998867,0.14622238049396882,1.9999999403953552
confirm_medium_seed18_resource01_e04_t04_u0,medium,18,resource,4,904b09ef70ba4559e1b9d7a3130d0a0d56e8bdf435860f9b9589cab33c0d81a9,0,missile,2.0,1,4,0,1.0077305291099643,26.692851138911593,0.26822902544806987,0.6877540792737895,0.33430490570381655,0.35344917356997296,1.9999997913837433
confirm_medium_seed18_resource01_e04_t04_u0,medium,18,resource,4,904b09ef70ba4559e1b9d7a3130d0a0d56e8bdf435860f9b9589cab33c0d81a9,0,missile,2.0,1,4,2,0.31391325630198263,47.65312564673664,0.2843795489142923,0.6877540792737895,0.33430490570381655,0.35344917356997296,1.9999997913837433
confirm_medium_seed18_resource01_e04_t04_u0,medium,18,resource,4,904b09ef70ba4559e1b9d7a3130d0a0d56e8bdf435860f9b9589cab33c0d81a9,0,missile,2.0,1,4,3,1.1392614614871597,62.72314105146397,0.5258339484719668,0.3589942891239949,0.08869171350185603,0.2703025756221389,1.9999997913837433
confirm_medium_seed18_resource01_e04_t04_u0,medium,18,resource,4,904b09ef70ba4559e1b9d7a3130d0a0d56e8bdf435860f9b9589cab33c0d81a9,0,missile,2.0,1,4,4,0.9069476058122151,58.22509299185659,0.23864519904641546,0.6877540792737895,0.33430490570381655,0.35344917356997296,1.9999997913837433
confirm_medium_seed18_resource02_e17_t04_u1,medium,18,resource,4,b80022979f295d1df15be28feb6308fa09012e2f77287f06e6c54d44be68e61e,1,missile,2.0,1,2,1,0.42883110716164174,47.71093493512393,0.2413692124310662,0.17432998725512386,0.07790905579791739,0.09642093145720647,1.9601529417559505
confirm_medium_seed18_resource02_e17_t04_u1,medium,18,resource,4,b80022979f295d1df15be28feb6308fa09012e2f77287f06e6c54d44be68e61e,1,missile,2.0,1,2,4,0.5625080429206848,24.884002695069015,0.17141253303079046,0.18141567208413328,0.07790905579791739,0.1035066162862159,1.9601529417559505
confirm_medium_seed18_resource03_e06_t04_u2,medium,18,resource,4,903228ce570b4ec3a91da94bae97e33f266c8395cc52158f44aad07045156af6,2,laser,0.5,7,1,4,0.6782007820063107,34.27693854708876,0.14931068004261364,0.4487178139251123,0.4487178139251123,0.0,0.5
confirm_medium_seed18_resource04_e23_t04_u2,medium,18,resource,4,49a2dcd102144b03c575e0c899818e4249056ed3d7a7a245d48b9eb9f0fa9a08,2,laser,0.5,7,1,2,0.4189070136654309,32.2408570418358,0.06229896684126424,0.25672115994771527,0.25672115994771527,0.0,0.5
confirm_medium_seed18_resource05_e04_t04_u2,medium,18,resource,4,904b09ef70ba4559e1b9d7a3130d0a0d56e8bdf435860f9b9589cab33c0d81a9,2,laser,0.5,8,1,3,1.1392614614871597,62.72314105146397,0.022722917036576692,0.3589942891239949,0.3589942891239949,0.0,0.5
confirm_medium_seed19_safety00_e01_t30_u1,medium,19,safety,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,1,missile,2.0,3,3,0,0.9757532594808711,24.326356666848294,0.3525452055089614,1.4569290805245971,1.4569290805245971,0.0,-1.1685152067802846
confirm_medium_seed19_safety00_e01_t30_u1,medium,19,safety,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,1,missile,2.0,3,3,3,1.1465595514479987,0.12849986775447167,0.7246922867718865,0.9374802944343761,0.9374802944343761,0.0,-1.1685152067802846
confirm_medium_seed19_safety00_e01_t30_u1,medium,19,safety,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,1,missile,2.0,3,3,4,1.1779804563970484,24.073877386998134,0.4593836454503677,1.253908977720009,1.253908977720009,0.0,-1.1685152067802846
confirm_medium_seed19_safety01_e01_t30_u0,medium,19,safety,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,0,missile,2.0,3,3,0,0.9757532594808711,24.326356666848294,0.30146689381318936,1.4569290805245971,1.4088797984535564,0.048049282071040755,-1.123513045720756
confirm_medium_seed19_safety01_e01_t30_u0,medium,19,safety,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,0,missile,2.0,3,3,3,1.1465595514479987,0.12849986775447167,0.7665996434828813,0.9374802944343761,0.9374802944343761,0.0,-1.123513045720756
confirm_medium_seed19_safety01_e01_t30_u0,medium,19,safety,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,0,missile,2.0,3,3,4,1.1779804563970484,24.073877386998134,0.3800077263327206,1.253908977720009,1.2058596956489684,0.04804928207104053,-1.123513045720756
confirm_medium_seed19_safety02_e01_t30_u2,medium,19,safety,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,2,laser,0.5,10,2,3,1.1465595514479987,0.12849986775447167,0.5709762184836649,0.9374802944343761,0.9374802944343761,0.0,-2.7750871144235134
confirm_medium_seed19_safety02_e01_t30_u2,medium,19,safety,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,2,laser,0.5,10,2,4,1.1779804563970484,24.073877386998134,0.015472750577059663,1.253908977720009,1.253908977720009,0.0,-2.7750871144235134
confirm_medium_seed19_safety03_e14_t30_u2,medium,19,safety,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,2,laser,0.5,10,3,1,0.7217334586046285,9.402449592342931,0.3199103879061612,1.3817019895349347,1.3817019895349347,0.0,0.52283632196486
confirm_medium_seed19_safety03_e14_t30_u2,medium,19,safety,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,2,laser,0.5,10,3,2,0.5873120542101495,24.146228131692183,0.33954826771129265,1.4519068465011888,1.4519068465011888,0.0,0.52283632196486
