context_id,scenario,policy_seed,slot,resource_type,legal_actions,positive_externality_actions,externality_min,externality_max,externality_span,audit_elapsed_ms
confirm_heterogeneity_pressure_seed17_resource04_e08_t28_u2,heterogeneity_pressure,17,resource,laser,1,0,0.0,0.0,0.0,0.047199999244185165
confirm_heterogeneity_pressure_seed17_resource05_e23_t43_u2,heterogeneity_pressure,17,resource,laser,1,0,0.0,0.0,0.0,0.027300000510877
confirm_heterogeneity_pressure_seed18_safety00_e00_t27_u1,heterogeneity_pressure,18,safety,missile,4,3,0.0,0.06681785893256831,0.06681785893256831,2.4211000018112827
confirm_heterogeneity_pressure_seed18_safety01_e00_t27_u0,heterogeneity_pressure,18,safety,missile,4,0,0.0,0.0,0.0,2.616500001749955
confirm_heterogeneity_pressure_seed18_safety02_e00_t27_u2,heterogeneity_pressure,18,safety,laser,2,0,0.0,0.0,0.0,1.2373999998089857
confirm_heterogeneity_pressure_seed18_safety03_e15_t35_u2,heterogeneity_pressure,18,safety,laser,3,0,0.0,0.0,0.0,1.3545000001613516
confirm_heterogeneity_pressure_seed18_safety04_e15_t35_u1,heterogeneity_pressure,18,safety,missile,3,0,0.0,0.0,0.0,1.343699997960357
confirm_heterogeneity_pressure_seed18_safety05_e15_t35_u0,heterogeneity_pressure,18,safety,missile,3,2,0.0,0.28243586790466,0.28243586790466,1.4383999987330753
confirm_heterogeneity_pressure_seed18_resource00_e05_t37_u0,heterogeneity_pressure,18,resource,missile,1,0,0.0,0.0,0.0,0.04310000076657161
confirm_heterogeneity_pressure_seed18_resource01_e04_t24_u0,heterogeneity_pressure,18,resource,missile,1,0,0.0,0.0,0.0,0.03690000085043721
confirm_heterogeneity_pressure_seed18_resource02_e17_t19_u0,heterogeneity_pressure,18,resource,missile,4,4,0.24839028034340616,0.4217107154709354,0.17332043512752926,0.5517999998119194
confirm_heterogeneity_pressure_seed18_resource03_e09_t30_u2,heterogeneity_pressure,18,resource,laser,2,0,0.0,0.0,0.0,0.25580000146874227
confirm_heterogeneity_pressure_seed18_resource04_e09_t29_u2,heterogeneity_pressure,18,resource,laser,2,0,0.0,0.0,0.0,0.3555999974196311
confirm_heterogeneity_pressure_seed18_resource05_e09_t28_u2,heterogeneity_pressure,18,resource,laser,2,0,0.0,0.0,0.0,0.45339999996940605
confirm_heterogeneity_pressure_seed19_safety00_e17_t30_u0,heterogeneity_pressure,19,safety,missile,4,4,0.34209031464868095,0.37286780226306393,0.03077748761438298,0.36539999928209
confirm_heterogeneity_pressure_seed19_safety01_e21_t35_u0,heterogeneity_pressure,19,safety,missile,4,4,0.0875238596543575,0.6215941991781517,0.5340703395237942,0.9267999994335696
confirm_heterogeneity_pressure_seed19_safety02_e00_t22_u1,heterogeneity_pressure,19,safety,missile,5,0,0.0,0.0,0.0,3.186099998856662
confirm_heterogeneity_pressure_seed19_safety03_e00_t22_u2,heterogeneity_pressure,19,safety,laser,3,0,0.0,0.0,0.0,1.9681000012496952
confirm_heterogeneity_pressure_seed19_safety04_e00_t22_u0,heterogeneity_pressure,19,safety,missile,5,5,0.05107241994539824,0.2730739731349887,0.22200155318959047,3.1555999994452577
confirm_heterogeneity_pressure_seed19_safety05_e10_t25_u1,heterogeneity_pressure,19,safety,missile,5,4,0.0,6.863264780765377e-05,6.863264780765377e-05,2.6747999982035253
confirm_heterogeneity_pressure_seed19_resource00_e04_t30_u0,heterogeneity_pressure,19,resource,missile,2,2,0.3179682180038168,0.39888924441051227,0.08092102640669546,0.14490000103251077
confirm_heterogeneity_pressure_seed19_resource01_e04_t28_u0,heterogeneity_pressure,19,resource,missile,3,3,0.31511037199872305,0.36935046842856445,0.0542400964298414,0.6957000005058944
confirm_heterogeneity_pressure_seed19_resource02_e04_t25_u1,heterogeneity_pressure,19,resource,missile,4,0,0.0,0.0,0.0,2.6545000000623986
confirm_heterogeneity_pressure_seed19_resource03_e03_t09_u2,heterogeneity_pressure,19,resource,laser,1,0,0.0,0.0,0.0,0.5567000007431488
confirm_heterogeneity_pressure_seed19_resource04_e10_t14_u2,heterogeneity_pressure,19,resource,laser,3,0,0.0,0.0,0.0,3.30010000106995
confirm_heterogeneity_pressure_seed19_resource05_e21_t13_u2,heterogeneity_pressure,19,resource,laser,2,0,0.0,0.0,0.0,2.2289000007731374
