method,train_scenario,run_index,train_seed,timesteps,probe_scenario,probe_states,actionable_decisions,engage_probability_mean,noop_probability_mean,noop_margin_mean,engagement_entropy_mean,conditional_target_entropy_mean,deterministic_engagement_rate,probe_value_mean
role_conditioned_ar_ppo_order_012,medium,1,9,256,heterogeneity_pressure,256,410,0.6595295071601868,0.34047046303749084,-0.022425280883908272,0.6079363822937012,0.6895183324813843,1.0,-1.2975550889968872
role_conditioned_ar_ppo_order_012,medium,1,9,256,medium,256,425,0.6677550077438354,0.3322450816631317,-0.02290741726756096,0.5997831225395203,0.7308908104896545,1.0,-1.3826173543930054
role_conditioned_ar_ppo_order_012,medium,1,9,256,time_pressure,256,452,0.6874392628669739,0.3125607669353485,-0.022677097469568253,0.5835564136505127,0.8298572897911072,1.0,-1.3476089239120483
factorized_engagement_ar_ppo_order_012,medium,1,9,0,all,768,1264,0.500515341758728,0.4994846284389496,0.7674376964569092,0.6931465268135071,0.7698752284049988,0.9944620253164557,-0.5265446305274963
factorized_engagement_ar_ppo_order_012,medium,1,9,0,heterogeneity_pressure,256,412,0.5005711317062378,0.4994288682937622,0.7060467004776001,0.6931464672088623,0.7086469531059265,0.9975728155339806,-0.5103787183761597
factorized_engagement_ar_ppo_order_012,medium,1,9,0,medium,256,410,0.5004166960716248,0.49958333373069763,0.7565490007400513,0.6931467652320862,0.7586197853088379,0.9902439024390244,-0.5303507447242737
factorized_engagement_ar_ppo_order_012,medium,1,9,0,time_pressure,256,442,0.5005549192428589,0.4994450509548187,0.8347623944282532,0.6931464672088623,0.8373884558677673,0.995475113122172,-0.5389043092727661
factorized_engagement_ar_ppo_order_012,medium,1,9,256,all,768,1297,0.5063066482543945,0.4936933219432831,0.7295032143592834,0.6930671334266663,0.7555907368659973,1.0,-1.3536128997802734
factorized_engagement_ar_ppo_order_012,medium,1,9,256,heterogeneity_pressure,256,422,0.506381094455719,0.4936189353466034,0.6544033885002136,0.693065345287323,0.6807588934898376,1.0,-1.3069602251052856
factorized_engagement_ar_ppo_order_012,medium,1,9,256,medium,256,431,0.5062961578369141,0.49370381236076355,0.701695442199707,0.6930674910545349,0.7278160452842712,1.0,-1.392491102218628
factorized_engagement_ar_ppo_order_012,medium,1,9,256,time_pressure,256,444,0.5062461495399475,0.4937538504600525,0.8278754949569702,0.6930686235427856,0.8536763191223145,1.0,-1.3613872528076172
