record_type,grouping,group_value,n,contexts,zero_rate,mean,standard_deviation,minimum,p25,median,p75,maximum,outcome,outcome_rate,range
ds_distribution,scenario|policy_seed|unit_position,heterogeneity_pressure|1|0,901,105.0,0.17425083240843509,0.39594945790680325,0.2306043387977865,0.0,0.25,0.46153846153846156,0.5714285714285714,0.8,,,
ds_distribution,scenario|policy_seed|unit_position,heterogeneity_pressure|1|1,847,158.0,0.33884297520661155,0.24828807556080285,0.20742645099082826,0.0,0.0,0.25,0.4,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position,heterogeneity_pressure|2|0,901,105.0,0.17425083240843509,0.39594945790680325,0.2306043387977865,0.0,0.25,0.46153846153846156,0.5714285714285714,0.8,,,
ds_distribution,scenario|policy_seed|unit_position,heterogeneity_pressure|2|1,820,158.0,0.35,0.24396341463414636,0.20745377586878389,0.0,0.0,0.25,0.4,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position,time_pressure|0|0,914,105.0,0.06783369803063458,0.4306601360732448,0.1813880687666862,0.0,0.32258064516129037,0.48,0.5517241379310345,0.8,,,
ds_distribution,scenario|policy_seed|unit_position,time_pressure|0|1,1516,166.0,0.3080474934036939,0.2353891820580475,0.18625831572346319,0.0,0.0,0.25,0.4,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position,time_pressure|1|0,914,105.0,0.06783369803063458,0.4306601360732448,0.1813880687666862,0.0,0.32258064516129037,0.48,0.5517241379310345,0.8,,,
ds_distribution,scenario|policy_seed|unit_position,time_pressure|1|1,1530,166.0,0.30522875816993467,0.235119825708061,0.18515848327292206,0.0,0.0,0.25,0.33333333333333337,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position,time_pressure|2|0,914,105.0,0.06783369803063458,0.4306601360732448,0.1813880687666862,0.0,0.32258064516129037,0.48,0.5517241379310345,0.8,,,
ds_distribution,scenario|policy_seed|unit_position,time_pressure|2|1,1519,164.0,0.3074391046741277,0.2339148562650867,0.18484333900125363,0.0,0.0,0.25,0.33333333333333337,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|0|0|engage_engage,532,105.0,0.12781954887218044,0.46625066713530416,0.22547075575893089,0.0,0.33333333333333337,0.5,0.631578947368421,0.8,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|0|0|noop_engage,369,105.0,0.24119241192411925,0.2945937849811594,0.19787747257368038,0.0,0.1875,0.33333333333333337,0.46153846153846156,0.6,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|0|1|engage_engage,428,123.0,0.2219626168224299,0.32850467289719626,0.2128529607408098,0.0,0.19999999999999996,0.33333333333333337,0.5,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|0|1|noop_engage,406,158.0,0.4630541871921182,0.16654351395730707,0.16742229739606115,0.0,0.0,0.19999999999999996,0.33333333333333337,0.5,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|1|0|engage_engage,532,105.0,0.12781954887218044,0.46625066713530416,0.22547075575893089,0.0,0.33333333333333337,0.5,0.631578947368421,0.8,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|1|0|noop_engage,369,105.0,0.24119241192411925,0.2945937849811594,0.19787747257368038,0.0,0.1875,0.33333333333333337,0.46153846153846156,0.6,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|1|1|engage_engage,438,123.0,0.2237442922374429,0.32538051750380514,0.2121518721347161,0.0,0.19999999999999996,0.33333333333333337,0.5,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|1|1|noop_engage,409,158.0,0.4621026894865526,0.16572942135289323,0.16649891027889857,0.0,0.0,0.19999999999999996,0.33333333333333337,0.5,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|2|0|engage_engage,532,105.0,0.12781954887218044,0.46625066713530416,0.22547075575893089,0.0,0.33333333333333337,0.5,0.631578947368421,0.8,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|2|0|noop_engage,369,105.0,0.24119241192411925,0.2945937849811594,0.19787747257368038,0.0,0.1875,0.33333333333333337,0.46153846153846156,0.6,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|2|1|engage_engage,423,114.0,0.23167848699763594,0.3168242710795902,0.21031010503002218,0.0,0.19999999999999996,0.33333333333333337,0.5,0.6666666666666667,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,heterogeneity_pressure|2|1|noop_engage,397,158.0,0.4760705289672544,0.16633081444164566,0.17344293261838975,0.0,0.0,0.19999999999999996,0.33333333333333337,0.5,,,
ds_distribution,scenario|policy_seed|unit_position|noop_pair_type,time_pressure|0|0|engage_engage,555,84.0,0.03783783783783784,0.5125182134256545,0.147519328934543,0.0,0.48,0.5517241379310345,0.5833333333333333,0.8,,,
