method,method_type,train_scenario,eval_scenario,run_index,train_seed,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate,collapsed_unit
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,0,0,1-2-0,1,missile,0,1638,88,0.05372405372405373,1569,1481,0.9439133205863608,33,2060,0.016019417475728156,0.7561410633934283,0.5019620925576513,0.8885822214464008,0,6209,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,0,0,1-2-0,2,laser,1,1638,68,0.04151404151404151,1450,1382,0.953103448275862,15,1291,0.011618900077459334,0.7358861612092747,0.2969275713035213,0.8723822976012264,88,4007,0.021961567257299724,False
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,0,0,1-2-0,0,missile,2,1638,39,0.023809523809523808,1553,1514,0.9748873148744366,12,1922,0.006243496357960458,0.7521632305822848,0.5513656212809226,0.9060278626908084,115,5928,0.019399460188933872,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,1,missile,0,2136,83,0.03885767790262172,2016,1933,0.9588293650793651,34,2702,0.012583271650629163,0.755770074559137,0.3994957789583034,0.9187252719575105,0,7146,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,2,laser,1,2136,80,0.03745318352059925,1699,1619,0.9529134785167745,34,1458,0.023319615912208505,0.7563502573976543,0.17946120642735716,0.8798067140639987,77,3799,0.0202684917083443,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,0,missile,2,2136,72,0.033707865168539325,2034,1962,0.9646017699115044,34,3138,0.010834926704907584,0.7631390170229344,0.4935773122205782,0.8332023562893474,76,8197,0.009271684762718068,False
role_conditioned_ar_ppo_order_201,learning,medium,medium,0,0,2-0-1,2,laser,0,2259,0,0.0,2012,2012,1.0,0,2082,0.0,0.0,0.0,0.0,0,5436,0.0,True
role_conditioned_ar_ppo_order_201,learning,medium,medium,0,0,2-0-1,0,missile,1,2259,0,0.0,2259,2259,1.0,0,3219,0.0,0.0,0.0,0.0,0,8367,0.0,True
role_conditioned_ar_ppo_order_201,learning,medium,medium,0,0,2-0-1,1,missile,2,2259,0,0.0,2258,2258,1.0,0,3453,0.0,0.0,0.0,0.0,0,8872,0.0,True
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,0,0,2-0-1,2,laser,0,1666,0,0.0,1512,1512,1.0,0,1398,0.0,0.0,0.0,0.0,0,4222,0.0,True
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,0,0,2-0-1,0,missile,1,1666,0,0.0,1666,1666,1.0,0,2051,0.0,0.0,0.0,0.0,0,6214,0.0,True
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,0,0,2-0-1,1,missile,2,1666,0,0.0,1666,1666,1.0,0,2169,0.0,0.0,0.0,0.0,0,6562,0.0,True
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,2,laser,0,2200,0,0.0,1805,1805,1.0,0,1647,0.0,0.0,0.0,0.0,0,4161,0.0,True
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,0,missile,1,2200,0,0.0,2200,2200,1.0,0,3399,0.0,0.0,0.0,0.0,0,8715,0.0,True
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,1,missile,2,2200,0,0.0,2161,2161,1.0,0,2929,0.0,0.0,0.0,0.0,0,7652,0.0,True
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,0-1-2,0,missile,0,2259,0,0.0,2252,2252,1.0,0,3609,0.0,0.0,0.0,0.0,0,8232,0.0,True
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,0-1-2,1,missile,1,2259,0,0.0,2259,2259,1.0,0,3837,0.0,0.0,0.0,0.0,0,8749,0.0,True
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,0-1-2,2,laser,2,2259,0,0.0,2056,2056,1.0,0,2233,0.0,0.0,0.0,0.0,0,5348,0.0,True
