method,method_type,train_scenario,eval_scenario,run_index,train_seed,attribution,count,total_high_threat_leaks,rate
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,prefix_denied,0,41,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,mismatched_resource,6,41,0.14634146341463414
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,attempted_miss,0,41,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,resource_exhausted,0,41,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,2,2,never_legal,0,61,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,2,2,unassigned,61,61,1.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,2,2,prefix_denied,0,61,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,2,2,mismatched_resource,0,61,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,2,2,attempted_miss,0,61,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,2,2,resource_exhausted,0,61,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,2,2,never_legal,0,85,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,2,2,unassigned,85,85,1.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,2,2,prefix_denied,0,85,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,2,2,mismatched_resource,0,85,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,2,2,attempted_miss,0,85,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,2,2,resource_exhausted,0,85,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,never_legal,0,68,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,unassigned,68,68,1.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,prefix_denied,0,68,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,mismatched_resource,0,68,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,attempted_miss,0,68,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,resource_exhausted,0,68,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,2,2,never_legal,0,30,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,2,2,unassigned,24,30,0.8
role_conditioned_ar_ppo_order_201,learning,medium,medium,2,2,prefix_denied,0,30,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,2,2,mismatched_resource,0,30,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,2,2,attempted_miss,6,30,0.2
role_conditioned_ar_ppo_order_201,learning,medium,medium,2,2,resource_exhausted,0,30,0.0
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,2,2,never_legal,0,44,0.0
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,2,2,unassigned,36,44,0.8181818181818182
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,2,2,prefix_denied,0,44,0.0
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,2,2,mismatched_resource,0,44,0.0
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,2,2,attempted_miss,8,44,0.18181818181818182
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,2,2,resource_exhausted,0,44,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,never_legal,0,31,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,unassigned,26,31,0.8387096774193549
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,prefix_denied,1,31,0.03225806451612903
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,mismatched_resource,0,31,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,attempted_miss,4,31,0.12903225806451613
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,resource_exhausted,0,31,0.0
