branch_gradient_cosine,engage_probability,engagement_gradient_norm,engagement_log_prob,episode_index,eval_scenario,joint_advantage,method,return,reward,selected_action,selected_engage,step_index,target_gradient_norm,target_log_prob,target_probability,td_error,train_seed,unit_index,value,value_bias
nan,0.2506800889968872,nan,-0.2885892689228058,0,medium,10.064702780351464,factorized_engagement_ar_ppo_order_012,-17.66487905253428,-0.1,5,0,4,nan,0.0,nan,-0.10654457092285341,8,0,-27.729581832885742,-10.064702780351464
nan,0.0,nan,0.0,0,medium,10.064702780351464,factorized_engagement_ar_ppo_order_012,-17.66487905253428,-0.1,5,0,4,nan,0.0,nan,-0.10654457092285341,8,1,-27.729581832885742,-10.064702780351464
nan,0.24163499474525452,nan,-0.2765904366970062,0,medium,10.064702780351464,factorized_engagement_ar_ppo_order_012,-17.66487905253428,-0.1,5,0,4,nan,0.0,nan,-0.10654457092285341,8,2,-27.729581832885742,-10.064702780351464
nan,0.25142452120780945,nan,-0.2895832657814026,0,medium,10.378823827830935,factorized_engagement_ar_ppo_order_012,-17.923345971973752,-2.6,5,0,5,nan,0.0,nan,-3.149991493225098,8,0,-28.302169799804688,-10.378823827830935
nan,0.2568866014480591,nan,-1.359120488166809,0,medium,10.378823827830935,factorized_engagement_ar_ppo_order_012,-17.923345971973752,-2.6,2,1,5,nan,-1.2728787660598755,0.28002431988716125,-3.149991493225098,8,1,-28.302169799804688,-10.378823827830935
nan,0.24268196523189545,nan,-1.4160034656524658,0,medium,10.378823827830935,factorized_engagement_ar_ppo_order_012,-17.923345971973752,-2.6,1,1,5,nan,0.0,1.0,-3.149991493225098,8,2,-28.302169799804688,-10.378823827830935
nan,0.252636194229126,nan,-0.29120320081710815,0,medium,13.80491359291432,factorized_engagement_ar_ppo_order_012,-15.636067318340563,-0.6,5,0,6,nan,0.0,nan,-1.1705770111083993,8,0,-29.440980911254883,-13.80491359291432
nan,0.0,nan,0.0,0,medium,13.80491359291432,factorized_engagement_ar_ppo_order_012,-15.636067318340563,-0.6,5,0,6,nan,0.0,nan,-1.1705770111083993,8,1,-29.440980911254883,-13.80491359291432
nan,0.2438361644744873,nan,-1.4112586975097656,0,medium,13.80491359291432,factorized_engagement_ar_ppo_order_012,-15.636067318340563,-0.6,1,1,6,nan,0.0,1.0,-1.1705770111083993,8,2,-29.440980911254883,-13.80491359291432
nan,0.25619661808013916,nan,-0.2959785461425781,0,medium,15.28111286124767,factorized_engagement_ar_ppo_order_012,-15.342925835041392,-0.6,5,0,7,nan,0.0,nan,-1.849546890258786,8,0,-30.624038696289062,-15.28111286124767
nan,0.0,nan,0.0,0,medium,15.28111286124767,factorized_engagement_ar_ppo_order_012,-15.342925835041392,-0.6,5,0,7,nan,0.0,nan,-1.849546890258786,8,1,-30.624038696289062,-15.28111286124767
nan,0.2473069429397583,nan,-1.397125005722046,0,medium,15.28111286124767,factorized_engagement_ar_ppo_order_012,-15.342925835041392,-0.6,1,1,7,nan,0.0,1.0,-1.849546890258786,8,2,-30.624038696289062,-15.28111286124767
nan,0.25751015543937683,nan,-0.29774612188339233,0,medium,17.480265052557613,factorized_engagement_ar_ppo_order_012,-15.043801872491217,-0.1,5,0,8,nan,0.0,nan,-0.14901878356933906,8,0,-32.52406692504883,-17.480265052557613
nan,0.0,nan,0.0,0,medium,17.480265052557613,factorized_engagement_ar_ppo_order_012,-15.043801872491217,-0.1,5,0,8,nan,0.0,nan,-0.14901878356933906,8,1,-32.52406692504883,-17.480265052557613
