method,train_scenario,run_index,train_seed,timesteps,probe_scenario,probe_states,actionable_decisions,engage_probability_mean,noop_probability_mean,noop_margin_mean,engagement_entropy_mean,conditional_target_entropy_mean,deterministic_engagement_rate,probe_value_mean
role_conditioned_ar_ppo_order_012,medium,2,5,0,medium,256,452,0.6642734408378601,0.33572664856910706,-1.5509966033278033e-05,0.6015965938568115,0.7380557656288147,0.4336283185840708,0.3624820113182068
role_conditioned_ar_ppo_order_012,medium,2,5,0,time_pressure,256,450,0.6877381205558777,0.3122619092464447,-0.0004256671236362308,0.5827744603157043,0.8533079624176025,0.6311111111111111,0.22316022217273712
role_conditioned_ar_ppo_order_012,medium,2,5,1024,all,768,1446,0.6538602709770203,0.34613972902297974,0.15186531841754913,0.6060943603515625,0.8510685563087463,0.0,-13.56938648223877
role_conditioned_ar_ppo_order_012,medium,2,5,1024,heterogeneity_pressure,256,457,0.6491199135780334,0.35088008642196655,0.1542428880929947,0.6168224811553955,0.8195902705192566,0.0,-13.507099151611328
role_conditioned_ar_ppo_order_012,medium,2,5,1024,medium,256,497,0.6446189284324646,0.3553810715675354,0.1488414853811264,0.6114102005958557,0.8061224818229675,0.0,-13.647357940673828
role_conditioned_ar_ppo_order_012,medium,2,5,1024,time_pressure,256,492,0.6675986647605896,0.332401305437088,0.15271145105361938,0.5907596349716187,0.9257104396820068,0.0,-13.553702354431152
role_conditioned_ar_ppo_order_012,medium,2,5,2048,all,768,1446,0.6091226935386658,0.3908773362636566,0.3574546277523041,0.6300862431526184,0.8509750962257385,0.0,-18.46927833557129
role_conditioned_ar_ppo_order_012,medium,2,5,2048,heterogeneity_pressure,256,457,0.6034153699874878,0.3965846300125122,0.3608916699886322,0.6414426565170288,0.8194953799247742,0.0,-18.102828979492188
role_conditioned_ar_ppo_order_012,medium,2,5,2048,medium,256,497,0.6001147031784058,0.39988526701927185,0.35397109389305115,0.6332176923751831,0.8060814738273621,0.0,-18.986404418945312
role_conditioned_ar_ppo_order_012,medium,2,5,2048,time_pressure,256,492,0.6235234141349792,0.37647655606269836,0.3577810823917389,0.6163743138313293,0.9255648851394653,0.0,-18.318603515625
role_conditioned_ar_ppo_order_012,medium,2,5,3072,all,768,1446,0.5227756500244141,0.47722434997558594,0.7424525618553162,0.6544886827468872,0.8510235548019409,0.0,-22.95924949645996
role_conditioned_ar_ppo_order_012,medium,2,5,3072,heterogeneity_pressure,256,457,0.5166510343551636,0.4833489954471588,0.7368095517158508,0.6638797521591187,0.8195333480834961,0.0,-22.470767974853516
role_conditioned_ar_ppo_order_012,medium,2,5,3072,medium,256,497,0.5137837529182434,0.4862162470817566,0.7350043654441833,0.6544777154922485,0.806088387966156,0.0,-23.43526840209961
role_conditioned_ar_ppo_order_012,medium,2,5,3072,time_pressure,256,492,0.5375478267669678,0.46245211362838745,0.7552180290222168,0.6457768678665161,0.925665557384491,0.0,-22.971712112426758
role_conditioned_ar_ppo_order_012,medium,2,5,4096,all,768,1446,0.6405145525932312,0.359485387802124,0.2211446762084961,0.616693913936615,0.8510898947715759,0.0,-26.95589256286621
role_conditioned_ar_ppo_order_012,medium,2,5,4096,heterogeneity_pressure,256,457,0.6363646388053894,0.3636353611946106,0.21816378831863403,0.6276742219924927,0.819596529006958,0.0,-25.795833587646484
role_conditioned_ar_ppo_order_012,medium,2,5,4096,medium,256,497,0.6324220895767212,0.3675779402256012,0.2126678228378296,0.6205033659934998,0.8061462044715881,0.0,-27.077735900878906
role_conditioned_ar_ppo_order_012,medium,2,5,4096,time_pressure,256,492,0.6525441408157349,0.34745582938194275,0.23247651755809784,0.6026465892791748,0.925743579864502,0.0,-27.99411392211914
role_conditioned_ar_ppo_order_012,medium,2,5,5120,all,768,1446,0.6325176954269409,0.36748233437538147,0.25521352887153625,0.6211740970611572,0.8510362505912781,0.0,-29.27762794494629
role_conditioned_ar_ppo_order_012,medium,2,5,5120,heterogeneity_pressure,256,457,0.6298810839653015,0.3701188862323761,0.24426910281181335,0.6324052810668945,0.8195159435272217,0.0,-28.113628387451172
role_conditioned_ar_ppo_order_012,medium,2,5,5120,medium,256,497,0.6241576671600342,0.3758423328399658,0.24956858158111572,0.6246210336685181,0.8061376810073853,0.0,-28.048439025878906
role_conditioned_ar_ppo_order_012,medium,2,5,5120,time_pressure,256,492,0.6434116363525391,0.3565882742404938,0.27108168601989746,0.6072598695755005,0.9256687760353088,0.0,-31.670814514160156
role_conditioned_ar_ppo_order_012,medium,2,5,6144,all,768,1446,0.6052550077438354,0.39474499225616455,0.3668639063835144,0.6349864602088928,0.8506784439086914,0.0,-36.16695022583008
role_conditioned_ar_ppo_order_012,medium,2,5,6144,heterogeneity_pressure,256,457,0.6028487682342529,0.39715123176574707,0.35061219334602356,0.6460022330284119,0.8191002011299133,0.0,-35.58220672607422
role_conditioned_ar_ppo_order_012,medium,2,5,6144,medium,256,497,0.5958396792411804,0.4041603207588196,0.3701210021972656,0.6380721926689148,0.8059738874435425,0.0,-34.63975524902344
role_conditioned_ar_ppo_order_012,medium,2,5,6144,time_pressure,256,492,0.6170010566711426,0.38299891352653503,0.3786693811416626,0.6216372847557068,0.9251691699028015,0.0,-38.27888488769531
role_conditioned_ar_ppo_order_012,medium,2,5,7168,all,768,1446,0.5290599465370178,0.4709400534629822,0.7060254216194153,0.6547417640686035,0.8508166670799255,0.0,-27.65624237060547
role_conditioned_ar_ppo_order_012,medium,2,5,7168,heterogeneity_pressure,256,457,0.526051938533783,0.47394806146621704,0.6847110986709595,0.6645911335945129,0.8192490339279175,0.0,-26.763099670410156
role_conditioned_ar_ppo_order_012,medium,2,5,7168,medium,256,497,0.5204328894615173,0.47956714034080505,0.7010689377784729,0.6552244424819946,0.8059843182563782,0.0,-25.693836212158203
role_conditioned_ar_ppo_order_012,medium,2,5,7168,time_pressure,256,492,0.5405687689781189,0.45943117141723633,0.7308303713798523,0.6451053619384766,0.9254264235496521,0.0,-30.51178550720215
role_conditioned_ar_ppo_order_012,medium,2,5,8192,all,768,1446,0.46379467844963074,0.5362053513526917,0.9569085240364075,0.6499478220939636,0.8490415811538696,0.0,-26.466394424438477
role_conditioned_ar_ppo_order_012,medium,2,5,8192,heterogeneity_pressure,256,457,0.4626827538013458,0.5373172760009766,0.9255887269973755,0.6621497273445129,0.8175202012062073,0.0,-24.099485397338867
role_conditioned_ar_ppo_order_012,medium,2,5,8192,medium,256,497,0.4534035921096802,0.5465964674949646,0.9640693068504333,0.6487950682640076,0.8048815727233887,0.0,-27.06559944152832
role_conditioned_ar_ppo_order_012,medium,2,5,8192,time_pressure,256,492,0.4753241539001465,0.5246758460998535,0.9787667989730835,0.6397785544395447,0.9229292273521423,0.0,-28.23409652709961
role_conditioned_ar_ppo_order_012,medium,2,5,9216,all,768,1446,0.47898200154304504,0.5210180282592773,0.8774045705795288,0.6540875434875488,0.8481820821762085,0.0,-32.078243255615234
role_conditioned_ar_ppo_order_012,medium,2,5,9216,heterogeneity_pressure,256,457,0.47511449456214905,0.5248854756355286,0.8556982278823853,0.6655433773994446,0.8164794445037842,0.0,-30.266956329345703
role_conditioned_ar_ppo_order_012,medium,2,5,9216,medium,256,497,0.47156304121017456,0.5284369587898254,0.8779813647270203,0.6531984210014343,0.8046009540557861,0.0,-33.7762451171875
role_conditioned_ar_ppo_order_012,medium,2,5,9216,time_pressure,256,492,0.4900687038898468,0.5099313259124756,0.8969842195510864,0.6443448662757874,0.9216534495353699,0.0,-32.19153594970703
role_conditioned_ar_ppo_order_012,medium,2,5,10240,all,768,1446,0.44956621527671814,0.5504337549209595,1.007399559020996,0.6503571271896362,0.8485321998596191,0.0,-21.790945053100586
role_conditioned_ar_ppo_order_012,medium,2,5,10240,heterogeneity_pressure,256,457,0.4387987554073334,0.5612012147903442,1.0059751272201538,0.6592118740081787,0.8166147470474243,0.0,-19.604389190673828
role_conditioned_ar_ppo_order_012,medium,2,5,10240,medium,256,497,0.4468454122543335,0.5531545877456665,0.9941893219947815,0.6482257843017578,0.8048267364501953,0.0,-23.413129806518555
role_conditioned_ar_ppo_order_012,medium,2,5,10240,time_pressure,256,492,0.4623161852359772,0.5376837849617004,1.0220670700073242,0.6442853212356567,0.9223287105560303,0.0,-22.355318069458008
role_conditioned_ar_ppo_order_012,medium,3,6,0,all,768,1288,0.6717116236686707,0.32828834652900696,-0.0022842567414045334,0.5961892604827881,0.7712286114692688,0.9138198757763976,0.7372182011604309
role_conditioned_ar_ppo_order_012,medium,3,6,0,heterogeneity_pressure,256,404,0.6628759503364563,0.3371241092681885,-0.003033838700503111,0.6050616502761841,0.7242660522460938,0.9529702970297029,0.7369863986968994
role_conditioned_ar_ppo_order_012,medium,3,6,0,medium,256,435,0.6623633503913879,0.33763664960861206,-0.0019768001511693,0.6037206649780273,0.7252428531646729,0.9333333333333333,0.7432922720909119
role_conditioned_ar_ppo_order_012,medium,3,6,0,time_pressure,256,449,0.6887186765670776,0.3112812936306,-0.0019076700555160642,0.5809094309806824,0.8580362796783447,0.8596881959910914,0.7313759326934814
role_conditioned_ar_ppo_order_012,medium,3,6,1024,all,768,1337,0.7633815407752991,0.23661845922470093,-0.5132468938827515,0.5167061686515808,0.7540132999420166,1.0,-14.6470365524292
role_conditioned_ar_ppo_order_012,medium,3,6,1024,heterogeneity_pressure,256,419,0.7523636817932129,0.24763627350330353,-0.5059527158737183,0.5315656661987305,0.6893065571784973,1.0,-14.635650634765625
role_conditioned_ar_ppo_order_012,medium,3,6,1024,medium,256,458,0.7629920840263367,0.23700787127017975,-0.5250591039657593,0.5180028676986694,0.7375229597091675,1.0,-14.653233528137207
role_conditioned_ar_ppo_order_012,medium,3,6,1024,time_pressure,256,460,0.7738050222396851,0.22619493305683136,-0.5081300735473633,0.5018801689147949,0.8293713331222534,1.0,-14.652225494384766
role_conditioned_ar_ppo_order_012,medium,3,6,2048,all,768,1446,0.6575750708580017,0.3424248993396759,0.13574202358722687,0.6030296087265015,0.8510993719100952,0.0,-21.23503303527832
