method,train_scenario,run_index,train_seed,timesteps,policy_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,advantage_mean,advantage_std,positive_advantage_rate,actor_gradient_norm,critic_gradient_norm
role_conditioned_ar_ppo_order_012,medium,2,5,3072,-0.004681431734934449,217.729056930542,-0.7060907691717148,0.007754932623356581,0.0203125,0.16611582040786743,-7.067074167367537,13.905344930216996,0.5078125,0.0010234367818722002,0.4999989171529883
role_conditioned_ar_ppo_order_012,medium,2,5,4096,-0.00031469973037019373,121.16290512084962,-0.5223015815019607,0.00023498688824474812,0.0,0.2379123568534851,-4.127916447876487,10.737318033552855,0.4921875,0.001001463007857128,0.4999990325192896
role_conditioned_ar_ppo_order_012,medium,2,5,5120,-0.000274682926828973,237.14870338439943,-0.6384744249284268,8.44199676066637e-05,0.0,0.2809738516807556,-2.5058906122576445,16.87175629975859,0.453125,0.0022733178546599057,0.4999948921068074
role_conditioned_ar_ppo_order_012,medium,2,5,6144,-0.0011238185106776655,60.94005508422852,-0.6772083036601544,0.0007674874505028129,0.000390625,0.5606434345245361,-2.734941754373722,7.788336238817952,0.42578125,0.0010792143292706817,0.49999880885976733
role_conditioned_ar_ppo_order_012,medium,2,5,7168,-0.00688717751763761,102.32080993652343,-0.7625852048397064,0.009492392651736736,0.0421875,0.4468308091163635,3.7182574034668505,12.778073680374229,0.67578125,0.0026114730185965323,0.4999932562636204
role_conditioned_ar_ppo_order_012,medium,2,5,8192,-0.002862065506633371,237.94135103225707,-0.8198952570557594,0.003881816053763032,0.00546875,0.3607613444328308,2.957732669558027,18.55866818717945,0.453125,0.0035558974933708526,0.499987343949785
role_conditioned_ar_ppo_order_012,medium,2,5,9216,-0.004686719819437713,129.90829677581786,-0.7746640831232071,0.0052507719956338406,0.006640625,0.47699159383773804,-4.851593339932151,14.360712686900348,0.44921875,0.002305594424109336,0.49999464316583586
role_conditioned_ar_ppo_order_012,medium,2,5,10240,-0.002822721120901406,165.13738670349122,-0.7248889654874802,0.004368678200989962,0.0015625,0.5045516490936279,5.513703853415791,15.020899937320317,0.6484375,0.0006721196928425655,0.49999974450839274
role_conditioned_ar_ppo_order_012,medium,3,6,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
role_conditioned_ar_ppo_order_012,medium,3,6,1024,-0.002397950226441026,158.4593786239624,-0.5411264806985855,0.0038257515989243984,0.003125,0.0009977221488952637,-7.451117710093968,10.723739577001187,0.39453125,0.0019658518568349812,0.49999610623416924
role_conditioned_ar_ppo_order_012,medium,3,6,2048,-0.001002343324944377,60.48892078399658,-0.4852882258594036,0.0027797850780189037,0.001953125,-0.0006376504898071289,-2.975317482545506,7.450432601397835,0.46875,0.00559449499052015,0.49996861599555703
role_conditioned_ar_ppo_order_012,medium,3,6,3072,-0.00010047890245914459,141.25340976715088,-0.6544928520917892,0.0030543748289346695,0.0375,0.0014063119888305664,-0.8898248316254467,12.021869573947006,0.69140625,0.006016564072472274,0.4999637756427345
role_conditioned_ar_ppo_order_012,medium,3,6,4096,-0.0007306642481125891,87.12353830337524,-0.4474764779210091,0.0003558109747245908,0.0,0.15078920125961304,-2.5515607370762154,9.403527397127425,0.53515625,0.0019251355881754503,0.4999963387959673
role_conditioned_ar_ppo_order_012,medium,3,6,5120,-0.0040256766485981645,108.26520166397094,-0.48861589953303336,0.00301056238822639,0.003515625,0.06435853242874146,4.9107285639838665,12.33406492677058,0.75,0.00330134359982036,0.49998909709614076
role_conditioned_ar_ppo_order_012,medium,3,6,6144,-0.0006495795561932028,91.55159206390381,-0.48969887420535085,0.000482708215713501,0.0,0.19226908683776855,-4.046569513389841,9.263251647903946,0.37109375,0.0018994378966016958,0.4999964206080121
role_conditioned_ar_ppo_order_012,medium,3,6,7168,0.0010413708514533937,137.3255527496338,-0.5748236149549484,2.1556159481406212e-05,0.0,0.3288416862487793,-7.889412445103517,11.31994307407677,0.3203125,0.0014433616939212696,0.49999803272207954
role_conditioned_ar_ppo_order_012,medium,3,6,8192,-0.0005920551251620054,23.361670041084288,-0.6176287576556205,0.00034339213743805885,0.0,0.7983697056770325,-2.848637885064818,4.848885513327662,0.34765625,0.003259178555324387,0.49998941911080785
role_conditioned_ar_ppo_order_012,medium,3,6,9216,1.3506493996828794e-05,156.78915910720826,-0.6021145343780517,3.8700178265571594e-05,0.0,0.12329691648483276,0.7816380616859533,14.95367587911239,0.40234375,0.0028886920477633788,0.49999169160267765
role_conditioned_ar_ppo_order_012,medium,3,6,10240,-0.00046093807322904466,100.73962197303771,-0.5549034640192986,0.0004634719807654619,0.0,0.5671530961990356,0.48638918954850396,12.938138675905288,0.46484375,0.0011544535369905197,0.4999989045967997
role_conditioned_ar_ppo_order_012,medium,4,7,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
role_conditioned_ar_ppo_order_012,medium,4,7,1024,-0.0013460301444865764,83.50836935043336,-0.4891377709805965,0.0018285498954355717,0.001171875,-0.0017197132110595703,-5.482271290791687,7.882066426788449,0.34375,0.001681461322764789,0.49999715882868895
role_conditioned_ar_ppo_order_012,medium,4,7,2048,-9.022660087794065e-05,191.01820163726808,-0.423832543194294,0.00021104305051267147,0.0,0.00044989585876464844,-4.561233835032908,13.285943649310717,0.578125,0.004141429887107149,0.49998279580406085
role_conditioned_ar_ppo_order_012,medium,4,7,3072,-0.0034623245941475035,111.55495853424073,-0.5156732618808746,0.0030312747694551945,0.020703125,0.00011044740676879883,0.04965796903707087,10.562449327341007,0.6171875,0.043578535544195385,0.4980971678278308
role_conditioned_ar_ppo_order_012,medium,4,7,4096,-0.0009579196688719094,378.94237251281737,-0.5698959484696389,0.002535424428060651,0.003515625,0.0003272891044616699,3.9872149400180206,19.342443234774233,0.6484375,0.00217494148704934,0.49999517405435434
role_conditioned_ar_ppo_order_012,medium,4,7,5120,-0.0066843176493421195,232.1237003326416,-0.6090836212038994,0.011408399790525436,0.08359375,0.0054781436920166016,1.3535204483487178,16.201812706178142,0.578125,0.0020182252220578914,0.4999958584374268
role_conditioned_ar_ppo_order_012,medium,4,7,6144,-0.0006989221088588238,291.0727668762207,-0.7483293071389199,0.00038438872434198856,0.0,0.19536203145980835,-6.206635915092193,17.60080487940793,0.3359375,0.0007701441515064537,0.49999942318565266
