bin_index,calibration_target,count,episodes,eval_scenario,lower,mean_probability,method,observed_rate,train_seed,upper
5,sampled_engagement_action,71,20,medium,0.5,0.5471969540690033,role_conditioned_ar_ppo_order_012,0.6197183098591549,10,0.6000000000000001
6,sampled_engagement_action,44,20,medium,0.6000000000000001,0.6436794603412802,role_conditioned_ar_ppo_order_012,0.7045454545454546,10,0.7000000000000001
7,sampled_engagement_action,26,20,medium,0.7000000000000001,0.747626224389443,role_conditioned_ar_ppo_order_012,0.7692307692307693,10,0.8
8,sampled_engagement_action,6,20,medium,0.8,0.8348304927349091,role_conditioned_ar_ppo_order_012,1.0,10,0.9
9,sampled_engagement_action,0,20,medium,0.9,nan,role_conditioned_ar_ppo_order_012,nan,10,1.0
0,sampled_engagement_action,60,20,time_pressure,0.0,0.07300743364418547,role_conditioned_ar_ppo_order_012,0.11666666666666667,10,0.1
1,sampled_engagement_action,257,20,time_pressure,0.1,0.14798041401206288,role_conditioned_ar_ppo_order_012,0.13618677042801555,10,0.2
2,sampled_engagement_action,210,20,time_pressure,0.2,0.24584818489494778,role_conditioned_ar_ppo_order_012,0.22380952380952382,10,0.30000000000000004
3,sampled_engagement_action,130,20,time_pressure,0.30000000000000004,0.34852756330600154,role_conditioned_ar_ppo_order_012,0.33076923076923076,10,0.4
4,sampled_engagement_action,91,20,time_pressure,0.4,0.44506846777685394,role_conditioned_ar_ppo_order_012,0.4065934065934066,10,0.5
5,sampled_engagement_action,72,20,time_pressure,0.5,0.5510144126084116,role_conditioned_ar_ppo_order_012,0.4722222222222222,10,0.6000000000000001
6,sampled_engagement_action,65,20,time_pressure,0.6000000000000001,0.6523344232485845,role_conditioned_ar_ppo_order_012,0.6923076923076923,10,0.7000000000000001
7,sampled_engagement_action,54,20,time_pressure,0.7000000000000001,0.7419334042955328,role_conditioned_ar_ppo_order_012,0.7037037037037037,10,0.8
8,sampled_engagement_action,11,20,time_pressure,0.8,0.8325523950836875,role_conditioned_ar_ppo_order_012,0.9090909090909091,10,0.9
9,sampled_engagement_action,0,20,time_pressure,0.9,nan,role_conditioned_ar_ppo_order_012,nan,10,1.0
0,sampled_engagement_action,147,20,heterogeneity_pressure,0.0,0.06344076457629803,role_conditioned_ar_ppo_order_012,0.05442176870748299,10,0.1
