context_id,scenario,policy_seed,slot,repeat,target_index,target_probability,current_step_identity,intervention_unique,opportunity_not_observable,restored_ammo,expected_ammo_gain
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,22,4,0.5002899169921875,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,23,3,0.4997101128101349,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,23,4,0.5002899169921875,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,24,3,0.4997101128101349,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,24,4,0.5002899169921875,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,25,3,0.4997101128101349,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,25,4,0.5002899169921875,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,26,3,0.4997101128101349,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,26,4,0.5002899169921875,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,27,3,0.4997101128101349,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,27,4,0.5002899169921875,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,28,3,0.4997101128101349,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,28,4,0.5002899169921875,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,29,3,0.4997101128101349,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,29,4,0.5002899169921875,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,30,3,0.4997101128101349,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,30,4,0.5002899169921875,True,True,False,1,1
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,31,3,0.4997101128101349,True,True,True,0,0
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,31,4,0.5002899169921875,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,0,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,1,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,2,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,3,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,4,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,5,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,6,4,1.0,True,True,True,0,0
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,7,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,8,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,9,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,10,4,1.0,True,True,True,0,0
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,11,4,1.0,True,True,True,0,0
