context_id,scenario,policy_seed,slot,target_index,target_probability,repeat_count,sub_shot_mean,sub_shot_standard_error,sub_shot_lower,sub_shot_upper,sub_cost_mean,sub_cost_standard_error,sub_cost_lower,sub_cost_upper,reuse_probe_mean,reuse_probe_standard_error,reuse_probe_lower,reuse_probe_upper,reuse_total_mean,reuse_total_standard_error,reuse_total_lower,reuse_total_upper,option_edge_mean,option_edge_standard_error,option_edge_lower,option_edge_upper,option_threat_mean,option_threat_standard_error,option_threat_lower,option_threat_upper,ammo_gain_damage_mean,ammo_gain_damage_standard_error,ammo_gain_damage_lower,ammo_gain_damage_upper,ammo_gain_leaks_mean,ammo_gain_leaks_standard_error,ammo_gain_leaks_lower,ammo_gain_leaks_upper
heterogeneity_pressure_seed10_safety03_e03_t33_u2,heterogeneity_pressure,10,safety,4,0.33596286177635193,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety04_e03_t33_u1,heterogeneity_pressure,10,safety,1,0.2532537877559662,32,1.3125,0.454452657316398,0.4217727916598599,2.20322720834014,1.6671874999999998,0.4479152502947097,0.7892736094223689,2.5451013905776305,0.21875,0.07424858801742054,0.07322276748585574,0.36427723251414423,0.21875,0.1327012698361588,-0.04134448887887121,0.4788444888788712,0.65625,0.379965445691256,-0.08848227355486171,1.4009822735548618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety04_e03_t33_u1,heterogeneity_pressure,10,safety,2,0.24191826581954956,32,-0.09375,0.3712429400871027,-0.8213861625707213,0.6338861625707213,0.6421874999999999,0.3584388007260477,-0.06035254942305357,1.3447275494230535,0.34375,0.08530513305661301,0.1765519392090385,0.5109480607909616,0.09375,0.15133395430572233,-0.20286455043921575,0.39036455043921575,0.3125,0.44094267603441045,-0.5517476450274444,1.1767476450274446,-0.25,0.25,-0.74,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety04_e03_t33_u1,heterogeneity_pressure,10,safety,3,0.24947671592235565,32,0.71875,0.4404780554564662,-0.14458698869467368,1.5820869886946736,1.0437500000000002,0.442037244362085,0.1773570010503136,1.9101429989496868,0.25,0.07777137710478188,0.09756810087462753,0.40243189912537247,0.125,0.059398870413936426,0.008578213988684608,0.2414217860113154,0.5625,0.17353941171778484,0.22236275303314174,0.9026372469668582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety04_e03_t33_u1,heterogeneity_pressure,10,safety,4,0.2553512454032898,32,-0.53125,0.29093971426862586,-1.1014918399665068,0.03899183996650668,0.13593750000000013,0.2548840894750794,-0.36363531537115545,0.6355103153711558,0.375,0.08695104295503155,0.20457595580813817,0.5454240441918619,0.09375,0.15133395430572233,-0.20286455043921575,0.39036455043921575,0.34375,0.44133543447791096,-0.5212674515767055,1.2087674515767055,-0.25,0.25,-0.74,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety05_e03_t33_u0,heterogeneity_pressure,10,safety,1,0.25240832567214966,32,0.84375,0.5734540490492396,-0.28021993613650964,1.9677199361365096,2.0843749999999996,0.5763021611512319,0.9548227641435851,3.2139272358564144,0.4375,0.08909830562090465,0.2628673209830269,0.6121326790169731,0.0625,0.09977292767466629,-0.13305493824234593,0.25805493824234593,0.4375,0.35051085989342157,-0.24950128539110628,1.1245012853911063,-0.28125,0.25094328092606,-0.7730988306150776,0.21059883061507756,0.013428752078803369,0.013428752078803369,-0.012891601995651234,0.03974910615325797,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety05_e03_t33_u0,heterogeneity_pressure,10,safety,2,0.24356722831726074,32,3.0625,0.5955776201410722,1.8951678645234986,4.229832135476501,4.1,0.5780903978310971,2.9669428202510497,5.23305717974895,0.28125,0.08075219711382271,0.1229756936569075,0.4395243063430925,0.0,0.06350006350009525,-0.12446012446018669,0.12446012446018669,0.21875,0.23216362677382127,-0.2362907084766897,0.6737907084766896,-0.1875,0.09458632343338629,-0.3728891939294371,-0.0021108060705628817,0.013428752078803369,0.013428752078803369,-0.012891601995651234,0.03974910615325797,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety05_e03_t33_u0,heterogeneity_pressure,10,safety,3,0.2492125779390335,32,1.5625,0.523514603733822,0.5364113766817089,2.588588623318291,2.9749999999999996,0.47413971331447796,2.045686161903623,3.9043138380963764,0.375,0.08695104295503155,0.20457595580813817,0.5454240441918619,0.0625,0.08909830562090465,-0.1121326790169731,0.2371326790169731,0.34375,0.27900086353780107,-0.2030916925340901,0.8905916925340901,-0.5,0.29443768166981743,-1.0770978560728421,0.07709785607284214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety05_e03_t33_u0,heterogeneity_pressure,10,safety,4,0.2548118829727173,32,1.0625,0.5098574674325895,0.06317936383212452,2.0618206361678757,2.4156249999999995,0.44492794303793465,1.5435662316456475,3.287683768354351,0.40625,0.0882099653319905,0.2333584679492986,0.5791415320507014,0.0625,0.09977292767466629,-0.13305493824234593,0.25805493824234593,0.375,0.3291913356755778,-0.2702150179241325,1.0202150179241325,-0.4375,0.29077725373612456,-1.007423417322804,0.13242341732280416,0.013428752078803369,0.013428752078803369,-0.012891601995651234,0.03974910615325797,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_resource00_e10_t49_u0,heterogeneity_pressure,8,resource,0,0.4903303384780884,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed8_resource00_e10_t49_u0,heterogeneity_pressure,8,resource,2,0.5096696615219116,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
