context_id,scenario,policy_seed,slot,target_index,target_probability,time_to_impact,event_horizon
heterogeneity_pressure_seed9_safety04_e00_t24_u2,heterogeneity_pressure,9,safety,2,0.332832396030426,2.7224993051099506,4
heterogeneity_pressure_seed9_safety04_e00_t24_u2,heterogeneity_pressure,9,safety,3,0.3345540463924408,6.347051478282836,8
heterogeneity_pressure_seed9_safety04_e00_t24_u2,heterogeneity_pressure,9,safety,4,0.33261358737945557,17.274979362062783,19
heterogeneity_pressure_seed9_safety05_e00_t23_u2,heterogeneity_pressure,9,safety,2,0.3328172564506531,3.7224985584121835,5
heterogeneity_pressure_seed9_safety05_e00_t23_u2,heterogeneity_pressure,9,safety,3,0.3343915045261383,7.347051949744136,9
heterogeneity_pressure_seed9_safety05_e00_t23_u2,heterogeneity_pressure,9,safety,4,0.33279120922088623,18.274979266993896,20
heterogeneity_pressure_seed9_resource00_e02_t04_u0,heterogeneity_pressure,9,resource,2,1.0,28.15333247766263,30
heterogeneity_pressure_seed9_resource01_e10_t04_u0,heterogeneity_pressure,9,resource,0,0.24794533848762512,29.741648670231076,31
heterogeneity_pressure_seed9_resource01_e10_t04_u0,heterogeneity_pressure,9,resource,1,0.24382928013801575,25.013543758675088,27
heterogeneity_pressure_seed9_resource01_e10_t04_u0,heterogeneity_pressure,9,resource,2,0.24753911793231964,26.83325321569882,28
heterogeneity_pressure_seed9_resource01_e10_t04_u0,heterogeneity_pressure,9,resource,4,0.2606862187385559,17.988333910625382,19
heterogeneity_pressure_seed9_resource02_e07_t04_u0,heterogeneity_pressure,9,resource,0,0.19776612520217896,28.128500208963462,30
heterogeneity_pressure_seed9_resource02_e07_t04_u0,heterogeneity_pressure,9,resource,1,0.19668853282928467,18.35533036589766,20
heterogeneity_pressure_seed9_resource02_e07_t04_u0,heterogeneity_pressure,9,resource,2,0.20610737800598145,35.44662817182342,37
heterogeneity_pressure_seed9_resource02_e07_t04_u0,heterogeneity_pressure,9,resource,3,0.19623242318630219,18.12754800626487,20
heterogeneity_pressure_seed9_resource02_e07_t04_u0,heterogeneity_pressure,9,resource,4,0.20320552587509155,28.38165392032661,30
heterogeneity_pressure_seed9_resource03_e02_t02_u0,heterogeneity_pressure,9,resource,2,1.0,30.153333034794816,32
heterogeneity_pressure_seed9_resource04_e08_t04_u0,heterogeneity_pressure,9,resource,1,0.33733272552490234,62.35948005815627,46
heterogeneity_pressure_seed9_resource04_e08_t04_u0,heterogeneity_pressure,9,resource,2,0.33015891909599304,42.37697125683065,44
heterogeneity_pressure_seed9_resource04_e08_t04_u0,heterogeneity_pressure,9,resource,4,0.3325084149837494,33.318587094316065,35
heterogeneity_pressure_seed9_resource05_e10_t02_u0,heterogeneity_pressure,9,resource,0,0.24823257327079773,31.741647880312293,33
heterogeneity_pressure_seed9_resource05_e10_t02_u0,heterogeneity_pressure,9,resource,1,0.24378535151481628,27.01354671873693,29
heterogeneity_pressure_seed9_resource05_e10_t02_u0,heterogeneity_pressure,9,resource,2,0.2473243921995163,28.833253285194328,30
heterogeneity_pressure_seed9_resource05_e10_t02_u0,heterogeneity_pressure,9,resource,4,0.2606576681137085,19.988333670718582,21
heterogeneity_pressure_seed10_safety00_e10_t40_u2,heterogeneity_pressure,10,safety,0,0.2562214434146881,4.7669076815080595,6
heterogeneity_pressure_seed10_safety00_e10_t40_u2,heterogeneity_pressure,10,safety,2,0.24879786372184753,0.23547622641998334,2
heterogeneity_pressure_seed10_safety00_e10_t40_u2,heterogeneity_pressure,10,safety,3,0.2546534836292267,0.7289919482420604,2
heterogeneity_pressure_seed10_safety00_e10_t40_u2,heterogeneity_pressure,10,safety,4,0.2403271645307541,22.182441263205515,10
heterogeneity_pressure_seed10_safety01_e10_t40_u1,heterogeneity_pressure,10,safety,0,0.20593351125717163,4.7669076815080595,6
heterogeneity_pressure_seed10_safety01_e10_t40_u1,heterogeneity_pressure,10,safety,1,0.19761992990970612,21.14740485792218,10
heterogeneity_pressure_seed10_safety01_e10_t40_u1,heterogeneity_pressure,10,safety,2,0.19885662198066711,0.23547622641998334,2
heterogeneity_pressure_seed10_safety01_e10_t40_u1,heterogeneity_pressure,10,safety,3,0.20459166169166565,0.7289919482420604,2
heterogeneity_pressure_seed10_safety01_e10_t40_u1,heterogeneity_pressure,10,safety,4,0.1929982304573059,22.182441263205515,10
heterogeneity_pressure_seed10_safety02_e10_t40_u0,heterogeneity_pressure,10,safety,0,0.20539389550685883,4.7669076815080595,6
heterogeneity_pressure_seed10_safety02_e10_t40_u0,heterogeneity_pressure,10,safety,1,0.19821880757808685,21.14740485792218,10
heterogeneity_pressure_seed10_safety02_e10_t40_u0,heterogeneity_pressure,10,safety,2,0.1998935341835022,0.23547622641998334,2
heterogeneity_pressure_seed10_safety02_e10_t40_u0,heterogeneity_pressure,10,safety,3,0.20413802564144135,0.7289919482420604,2
heterogeneity_pressure_seed10_safety02_e10_t40_u0,heterogeneity_pressure,10,safety,4,0.19235573709011078,22.182441263205515,10
heterogeneity_pressure_seed10_safety03_e03_t33_u2,heterogeneity_pressure,10,safety,1,0.3338358998298645,19.649094614786762,17
heterogeneity_pressure_seed10_safety03_e03_t33_u2,heterogeneity_pressure,10,safety,3,0.3302012085914612,7.962838103597412,9
heterogeneity_pressure_seed10_safety03_e03_t33_u2,heterogeneity_pressure,10,safety,4,0.33596286177635193,0.054059968090698234,2
heterogeneity_pressure_seed10_safety04_e03_t33_u1,heterogeneity_pressure,10,safety,1,0.2532537877559662,19.649094614786762,17
heterogeneity_pressure_seed10_safety04_e03_t33_u1,heterogeneity_pressure,10,safety,2,0.24191826581954956,29.6815194122317,17
heterogeneity_pressure_seed10_safety04_e03_t33_u1,heterogeneity_pressure,10,safety,3,0.24947671592235565,7.962838103597412,9
heterogeneity_pressure_seed10_safety04_e03_t33_u1,heterogeneity_pressure,10,safety,4,0.2553512454032898,0.054059968090698234,2
heterogeneity_pressure_seed10_safety05_e03_t33_u0,heterogeneity_pressure,10,safety,1,0.25240832567214966,19.649094614786762,17
heterogeneity_pressure_seed10_safety05_e03_t33_u0,heterogeneity_pressure,10,safety,2,0.24356722831726074,29.6815194122317,17
heterogeneity_pressure_seed10_safety05_e03_t33_u0,heterogeneity_pressure,10,safety,3,0.2492125779390335,7.962838103597412,9
heterogeneity_pressure_seed10_safety05_e03_t33_u0,heterogeneity_pressure,10,safety,4,0.2548118829727173,0.054059968090698234,2
heterogeneity_pressure_seed10_resource00_e08_t49_u0,heterogeneity_pressure,10,resource,2,1.0,6.660835178612308,1
heterogeneity_pressure_seed10_resource01_e08_t48_u0,heterogeneity_pressure,10,resource,2,1.0,7.6608352374671265,2
heterogeneity_pressure_seed10_resource02_e08_t47_u0,heterogeneity_pressure,10,resource,2,1.0,8.660835296321945,3
heterogeneity_pressure_seed10_resource03_e08_t46_u0,heterogeneity_pressure,10,resource,2,1.0,9.660834008529498,4
heterogeneity_pressure_seed10_resource04_e08_t45_u0,heterogeneity_pressure,10,resource,2,1.0,10.660834067384316,5
heterogeneity_pressure_seed10_resource05_e08_t44_u0,heterogeneity_pressure,10,resource,2,1.0,11.660834126239134,6
