method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,target_index,target_threat,target_payload,target_class,attribution
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,45,30045,0,0.9897729836390636,1.4622856017161852,small_uav,mismatched_resource
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,46,30046,2,0.8029883270408311,1.3177736063178558,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,48,30048,0,0.8045856089023469,0.8218072815176498,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,48,30048,2,0.8928501799396449,0.6467999313487148,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,49,30049,0,0.8572308506463222,0.9310846607648507,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,49,30049,2,0.9058035306790166,0.8581188421609597,loitering_munition,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,49,30049,3,0.9262653702593622,0.7565178987280159,loitering_munition,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,53,30053,2,0.964372129841206,1.0107166119532893,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,53,30053,4,0.9730557061738896,0.9647839898350721,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,56,30056,3,0.8129486771194232,1.078776280697523,decoy,mismatched_resource
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,58,30058,2,0.8817754665294002,0.8724583329027061,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,61,30061,0,0.8158173230921968,0.7149490618354952,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,61,30061,1,0.9910591145098975,1.353840637905186,small_uav,prefix_denied
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,61,30061,3,0.8336916946147771,1.2105180116275485,decoy,mismatched_resource
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,62,30062,0,0.8031873404339154,1.0717378932793138,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,62,30062,4,0.9237707530321859,0.7267636392556897,decoy,attempted_miss
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,64,30064,1,0.9253606916525938,1.3440254929317559,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,65,30065,0,0.8354421992594401,0.962360427429684,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,65,30065,3,0.8589699193212879,1.259155189810383,loitering_munition,mismatched_resource
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,67,30067,2,0.9821684159857467,1.1575966803306716,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,68,30068,2,0.8115490689425673,1.223629503258235,small_uav,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,69,30069,0,0.8199229017106602,1.148749899576357,loitering_munition,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,71,30071,4,0.8811671314983567,1.133584718668565,small_uav,attempted_miss
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,72,30072,2,0.8155816238899136,1.2638087886413314,loitering_munition,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,75,30075,0,0.9229626720904004,0.685402177578309,small_uav,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,75,30075,2,0.8284508166057669,0.9879489385358553,small_uav,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,76,30076,0,0.8066666510499221,0.6501549237128151,decoy,attempted_miss
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,76,30076,3,0.8545798745014229,0.807840348944038,loitering_munition,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,77,30077,2,0.9709736397936861,1.0552553867973113,small_uav,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,78,30078,0,0.8954198792590887,1.483192546196678,small_uav,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,78,30078,3,0.8935151105242043,0.9854932346738565,decoy,attempted_miss
