method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,requested_timesteps,training_timesteps,training_seconds,model_path,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
hungarian_damage,rule,medium,hard,0,,300,0,0,0.0,,50.0,-102.37825995734654,35.346155891237636,33.08,0.0,0.368,0.5,2.712971181619098,11.0,11.0,0.16727272727272727,0.0,0.032659189862220175,0.4808743169398907,2.712971181619098,0.0,0.0,0.18360225579662615,11.5
hungarian_damage,rule,medium,time_pressure,0,,350,0,0,0.0,,50.0,-51.89290241997748,39.60853246692122,34.42,0.06,0.556,0.436,1.4980822598306078,15.84,15.84,0.1755050505050505,0.0,0.03810191748940515,0.43636363636363634,1.4980822598306078,0.0,0.0,0.12764223642908298,16.92
hungarian_damage,rule,medium,resource_pressure,0,,400,0,0,0.0,,50.0,-68.22702643119246,41.33512413554937,47.1,0.02,0.284,0.512,1.792466816813973,9.94,9.94,0.14285714285714285,0.0,0.03165868368625617,0.5185185185185185,1.792466816813973,0.0,0.0,0.10931095327335807,10.97
hungarian_damage,rule,medium,intercept_uncertainty,0,,450,0,0,0.0,,50.0,-52.44616030761985,35.37474024751372,46.64,0.0,0.42,0.38,1.351563413077303,16.0,16.0,0.13125,0.0,0.03460441681254857,0.40707964601769914,1.351563413077303,0.0,0.0,0.0968372394731699,17.0
hungarian_damage,rule,medium,damage_pressure,0,,500,0,0,0.0,,50.0,-73.34918353817885,54.64814291987326,42.6,0.04,0.476,0.316,1.9752565767880015,15.88,15.88,0.14987405541561713,0.0,0.035117089189636845,0.316,1.9752565767880015,0.0,0.0,0.1918142155241201,16.94
hungarian_damage,rule,medium,heterogeneity_pressure,0,,550,0,0,0.0,,50.0,-45.461925742176064,42.44500033134945,46.86,0.06,0.464,0.344,1.2099924926290329,15.98,15.98,0.14518147684605756,0.0,0.03680256080062795,0.3627450980392157,1.2099924926290326,0.0,0.0,0.10686483244312814,15.395
ppo,learning,medium,easy,0,0,200,20000,20224,41.1955326999996,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\ppo_seed0.zip,50.0,-43.28042455595791,15.495836542120434,49.76,0.0,0.0,0.548,1.2768141518652627,0.0,0.0,0.0,0.0,0.44635554661709964,0.4166666666666667,1.2768141518652627,0.0,0.0,0.0,0.0
ppo,learning,medium,medium,0,0,250,20000,20224,41.1955326999996,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\ppo_seed0.zip,50.0,-91.91942858244047,29.739350113584468,45.16,0.0,0.0,0.692,2.430114286081349,0.0,0.0,0.0,0.0,0.4338794951272302,0.7380952380952381,2.430114286081349,0.0,0.0,0.0,0.0
ppo,learning,medium,hard,0,0,300,20000,20224,41.1955326999996,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\ppo_seed0.zip,50.0,-123.50850757110499,19.03978298266621,28.22,0.0,0.0,0.596,3.189550252370166,0.0,0.0,0.0,0.0,0.47430063783526366,0.5683060109289617,3.189550252370166,0.0,0.0,0.0,0.0
ppo,learning,medium,time_pressure,0,0,350,20000,20224,41.1955326999996,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\ppo_seed0.zip,50.0,-116.10765823842256,9.332079030746643,31.9,0.0,0.0,0.832,2.947255274614085,0.0,0.0,0.0,0.0,0.5001503448152121,0.8090909090909091,2.9472552746140854,0.0,0.0,0.0,0.0
ppo,learning,medium,resource_pressure,0,0,400,20000,20224,41.1955326999996,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\ppo_seed0.zip,50.0,-98.61976793490983,28.67786252414105,43.86,0.0,0.0,0.72,2.5911255978303274,0.0,0.0,0.0,0.0,0.4941919744437164,0.7685185185185185,2.5911255978303274,0.0,0.0,0.0,0.0
ppo,learning,medium,intercept_uncertainty,0,0,450,20000,20224,41.1955326999996,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\ppo_seed0.zip,50.0,-97.01262725582116,27.528140617516836,42.94,0.0,0.0,0.704,2.5572875751940383,0.0,0.0,0.0,0.0,0.5107234746160347,0.7522123893805309,2.5572875751940383,0.0,0.0,0.0,0.0
ppo,learning,medium,damage_pressure,0,0,500,20000,20224,41.1955326999996,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\ppo_seed0.zip,50.0,-120.87085346385662,23.917054805493827,35.34,0.0,0.0,0.504,3.1612284487952214,0.0,0.0,0.0,0.0,0.4410379739199315,0.504,3.1612284487952214,0.0,0.0,0.0,0.0
ppo,learning,medium,heterogeneity_pressure,0,0,550,20000,20224,41.1955326999996,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\ppo_seed0.zip,50.0,-92.20481430191134,29.408745866898457,44.5,0.0,0.0,0.688,2.458493810063711,0.0,0.0,0.0,0.0,0.42140907864593197,0.6666666666666666,2.458493810063711,0.0,0.0,0.0,0.0
maskable_ppo,learning,medium,easy,0,0,200,20000,20224,73.71635179999976,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\maskable_ppo_seed0.zip,50.0,-44.12396661139636,16.321129872252534,49.6,0.0,0.076,0.508,1.1732986007567816,2.9,2.9,0.1310344827586207,0.0,2.889627620989784,0.4166666666666667,1.1732986007567818,0.0,0.0,0.0682579712583298,5.8
maskable_ppo,learning,medium,medium,0,0,250,20000,20224,73.71635179999976,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\maskable_ppo_seed0.zip,50.0,-83.10078483130583,32.37754046150757,46.3,0.0,0.092,0.632,2.214603426133225,1.98,1.98,0.23232323232323232,0.0,4.61091952481535,0.6547619047619048,2.214603426133225,0.0,0.0,0.16397621051051514,3.96
maskable_ppo,learning,medium,hard,0,0,300,20000,20224,73.71635179999976,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\maskable_ppo_seed0.zip,50.0,-123.75126536083073,19.503438765039267,28.64,0.0,0.072,0.588,3.185898919083998,1.26,1.26,0.2857142857142857,0.0,2.6600574720739725,0.5846994535519126,3.185898919083998,0.0,0.0,0.29258232454129113,2.49
maskable_ppo,learning,medium,time_pressure,0,0,350,20000,20224,73.71635179999976,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\maskable_ppo_seed0.zip,50.0,-115.98921752781473,16.54139900287751,33.12,0.0,0.068,0.82,2.911657120722548,2.14,2.14,0.1588785046728972,0.0,2.3663751207609693,0.8090909090909091,2.911657120722548,0.0,0.0,0.11907114000520337,4.28
maskable_ppo,learning,medium,resource_pressure,0,0,400,20000,20224,73.71635179999976,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\maskable_ppo_seed0.zip,50.0,-95.85932275317394,30.491941087812016,44.0,0.0,0.048,0.696,2.513528605532203,1.46,1.46,0.1643835616438356,0.0,2.327306045448991,0.75,2.513528605532203,0.0,0.0,0.11828704693850292,2.8
maskable_ppo,learning,medium,intercept_uncertainty,0,0,450,20000,20224,73.71635179999976,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\maskable_ppo_seed0.zip,50.0,-93.46796268880605,32.25706375334844,44.78,0.0,0.064,0.672,2.4348614676487883,2.14,2.14,0.14953271028037382,0.0,1.6789176864751385,0.7256637168141593,2.4348614676487883,0.0,0.0,0.11631280519384002,4.22
maskable_ppo,learning,medium,damage_pressure,0,0,500,20000,20224,73.71635179999976,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\maskable_ppo_seed0.zip,50.0,-114.69904001632341,30.11242732940914,37.14,0.0,0.076,0.48,2.975318785382787,2.04,2.04,0.18627450980392157,0.0,1.6379641895410701,0.48,2.975318785382787,0.0,0.0,0.2573648086275516,4.08
maskable_ppo,learning,medium,heterogeneity_pressure,0,0,550,20000,20224,73.71635179999976,results\air_defense_v1\task6_screening_medium_20k_3seeds\models\medium\maskable_ppo_seed0.zip,50.0,-86.46022470403074,30.447931914914378,46.18,0.0,0.072,0.648,2.283065246412744,1.62,1.62,0.2222222222222222,0.0,1.6528851883721807,0.6078431372549019,2.283065246412744,0.0,0.0,0.17607426323269534,4.484999999999999
greedy_damage,rule,medium,easy,1,,600,0,0,0.0,,50.0,-12.827656267780391,22.08459154326209,47.54,0.18,0.688,0.104,0.22928017235203402,18.76,18.76,0.18336886993603413,0.0,0.05255957089007275,0.2692307692307692,0.22928017235203402,0.0,0.0,0.09191489279938984,21.38
greedy_damage,rule,medium,medium,1,,650,0,0,0.0,,50.0,-38.81397847734871,34.21635775926094,45.86,0.04,0.496,0.296,1.0411614983931756,15.88,15.88,0.1561712846347607,0.0,0.045278543418031565,0.25688073394495414,1.0411614983931756,0.0,0.0,0.11866779085377659,16.94
greedy_damage,rule,medium,hard,1,,700,0,0,0.0,,50.0,-108.43894397433377,33.54663659344393,34.64,0.0,0.32,0.524,2.7861019667560836,11.0,11.0,0.14545454545454545,0.0,0.04315334873263685,0.518324607329843,2.7861019667560836,0.0,0.0,0.16278955531900463,11.5
greedy_damage,rule,medium,time_pressure,1,,750,0,0,0.0,,50.0,-45.89611590436178,39.241603766498955,33.04,0.08,0.596,0.404,1.366869950362742,15.76,15.76,0.18908629441624367,0.0,0.052562832924290086,0.4020618556701031,1.366869950362742,0.0,0.0,0.12968089132015256,16.88
greedy_damage,rule,medium,resource_pressure,1,,800,0,0,0.0,,50.0,-59.12151655132955,30.544084903010003,45.64,0.0,0.312,0.468,1.6306666697161847,10.0,10.0,0.156,0.0,0.03756130586978744,0.39814814814814814,1.6306666697161847,0.0,0.0,0.1196657500721344,11.0
greedy_damage,rule,medium,intercept_uncertainty,1,,850,0,0,0.0,,50.0,-47.81771824631873,36.457957266751265,45.6,0.04,0.448,0.368,1.2398682369185714,15.76,15.76,0.14213197969543148,0.0,0.04867504384683822,0.32710280373831774,1.2398682369185714,0.0,0.0,0.09846039421937763,16.88
greedy_damage,rule,medium,damage_pressure,1,,900,0,0,0.0,,50.0,-74.32875549437342,46.72771106649967,46.12,0.0,0.448,0.324,1.971414778740955,15.9,15.9,0.14088050314465408,0.0,0.044293798791896474,0.324,1.9714147787409553,0.0,0.0,0.17701215680528978,16.95
greedy_damage,rule,medium,heterogeneity_pressure,1,,950,0,0,0.0,,50.0,-53.1906867732143,37.33965622283304,45.9,0.02,0.396,0.4,1.3930010395622439,15.88,15.88,0.12468513853904283,0.0,0.04841124183874453,0.38235294117647056,1.3930010395622439,0.0,0.0,0.09645773294358362,15.37
hungarian_damage,rule,medium,easy,1,,600,0,0,0.0,,50.0,-11.84282224559149,21.350818701525625,46.88,0.18,0.696,0.1,0.210628090075034,18.6,18.6,0.1870967741935484,0.0,0.07767487201519867,0.23076923076923078,0.210628090075034,0.0,0.0,0.0947689754279428,21.27
hungarian_damage,rule,medium,medium,1,,650,0,0,0.0,,50.0,-38.1292775954648,34.684804238317774,45.86,0.04,0.504,0.288,1.0241896666468733,15.88,15.88,0.15869017632241814,0.0,0.0668219363314317,0.27522935779816515,1.0241896666468733,0.0,0.0,0.11973654600152861,16.94
hungarian_damage,rule,medium,hard,1,,700,0,0,0.0,,50.0,-108.43894397433377,33.54663659344393,34.64,0.0,0.32,0.524,2.7861019667560836,11.0,11.0,0.14545454545454545,0.0,0.06642655888466473,0.518324607329843,2.7861019667560836,0.0,0.0,0.16278955531900463,11.5
hungarian_damage,rule,medium,time_pressure,1,,750,0,0,0.0,,50.0,-43.470980594401965,39.99368997941602,32.72,0.1,0.6,0.396,1.3124974075965417,15.74,15.74,0.1905972045743329,0.0,0.07531381421883468,0.38144329896907214,1.3124974075965417,0.0,0.0,0.13229486616121558,16.87
