candidate_action,candidate_type,critic_error_vs_branch,critic_v,eval_scenario,legal_candidate_count,mc_q_mean,mc_q_std,method,observed_action,one_step_reward_mean,paired_delta_vs_noop_mean,paired_delta_vs_noop_se,paired_delta_vs_noop_std,rollouts,state_id,train_seed,unit_index
5,noop,-7.505465205592955,-46.588623046875,heterogeneity_pressure,1,-39.083157841282045,9.508112805238353,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step1,8,1
5,noop,-7.505465205592955,-46.588623046875,heterogeneity_pressure,1,-39.083157841282045,9.508112805238353,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step1,8,2
5,noop,-11.325413686991475,-20.951292037963867,medium,3,-9.625878350972393,14.204160738963587,factorized_engagement_ar_ppo_order_012,4,-1.2654526138485949,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/medium/episode0/step0,10,0
3,target,-9.589704460097995,-20.951292037963867,medium,3,-11.361587577865873,15.760962450541554,factorized_engagement_ar_ppo_order_012,4,-1.8668670262250568,-1.735709226893479,2.6735969722678177,10.69438788907127,16,factorized_engagement_ar_ppo_order_012/seed10/medium/episode0/step0,10,0
4,target,-6.862500727301123,-20.951292037963867,medium,3,-14.088791310662744,12.62781897712363,factorized_engagement_ar_ppo_order_012,4,-2.781006195593679,-4.462912959690352,2.464814281686268,9.859257126745073,16,factorized_engagement_ar_ppo_order_012/seed10/medium/episode0/step0,10,0
5,noop,-11.532826582677451,-20.951292037963867,medium,3,-9.418465455286416,16.07280063713985,factorized_engagement_ar_ppo_order_012,1,-1.3373711196946163,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/medium/episode0/step0,10,1
1,target,-6.862500727301123,-20.951292037963867,medium,3,-14.088791310662744,12.62781897712363,factorized_engagement_ar_ppo_order_012,1,-2.781006195593679,-4.670325855376327,2.913356979022376,11.653427916089504,16,factorized_engagement_ar_ppo_order_012/seed10/medium/episode0/step0,10,1
3,target,-7.86970739991035,-20.951292037963867,medium,3,-13.081584638053517,12.940913498206335,factorized_engagement_ar_ppo_order_012,1,-2.6666638998250134,-3.6631191827670997,2.8171055545318353,11.268422218127341,16,factorized_engagement_ar_ppo_order_012/seed10/medium/episode0/step0,10,1
5,noop,-6.862500727301123,-20.951292037963867,medium,1,-14.088791310662744,12.62781897712363,factorized_engagement_ar_ppo_order_012,5,-2.781006195593679,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/medium/episode0/step0,10,2
5,noop,0.022739975086400577,-15.59613037109375,medium,1,-15.61887034618015,13.227812826775708,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/medium/episode0/step1,10,0
5,noop,0.022739975086400577,-15.59613037109375,medium,1,-15.61887034618015,13.227812826775708,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/medium/episode0/step1,10,1
5,noop,0.022739975086400577,-15.59613037109375,medium,1,-15.61887034618015,13.227812826775708,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/medium/episode0/step1,10,2
5,noop,-7.615668199456493,-31.059532165527344,time_pressure,3,-23.44386396607085,26.2250262186213,factorized_engagement_ar_ppo_order_012,3,-1.8374373948515959,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step0,10,0
1,target,-8.579637251183218,-31.059532165527344,time_pressure,3,-22.479894914344126,27.593404264774506,factorized_engagement_ar_ppo_order_012,3,-3.312312184554787,0.963969051726724,4.005677469661152,16.02270987864461,16,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step0,10,0
3,target,-8.579637251183218,-31.059532165527344,time_pressure,3,-22.479894914344126,27.593404264774506,factorized_engagement_ar_ppo_order_012,3,-3.312312184554787,0.963969051726724,4.005677469661152,16.02270987864461,16,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step0,10,0
5,noop,-5.413028707726937,-31.059532165527344,time_pressure,2,-25.646503457800407,26.418087833294518,factorized_engagement_ar_ppo_order_012,0,-2.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step0,10,1
0,target,-8.579637251183218,-31.059532165527344,time_pressure,2,-22.479894914344126,27.593404264774506,factorized_engagement_ar_ppo_order_012,0,-3.312312184554787,3.1666085434562805,3.516548856034072,14.066195424136287,16,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step0,10,1
5,noop,-8.579637251183218,-31.059532165527344,time_pressure,1,-22.479894914344126,27.593404264774506,factorized_engagement_ar_ppo_order_012,5,-3.312312184554787,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step0,10,2
5,noop,-2.529810206884285,-31.69139862060547,time_pressure,1,-29.161588413721184,17.801913788269953,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step1,10,0
5,noop,-2.529810206884285,-31.69139862060547,time_pressure,1,-29.161588413721184,17.801913788269953,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step1,10,1
5,noop,-2.529810206884285,-31.69139862060547,time_pressure,1,-29.161588413721184,17.801913788269953,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step1,10,2
5,noop,-0.6230847487447022,-34.825645446777344,heterogeneity_pressure,2,-34.20256069803264,13.203044094343532,factorized_engagement_ar_ppo_order_012,1,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step0,10,0
1,target,-1.4617264569232162,-34.825645446777344,heterogeneity_pressure,2,-33.36391898985413,14.699154928147644,factorized_engagement_ar_ppo_order_012,1,-1.5173231703698518,0.8386417081785181,2.7197784979363027,10.87911399174521,16,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step0,10,0
5,noop,-1.4617264569232162,-34.825645446777344,heterogeneity_pressure,1,-33.36391898985413,14.699154928147644,factorized_engagement_ar_ppo_order_012,5,-1.5173231703698518,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step0,10,1
5,noop,-1.4617264569232162,-34.825645446777344,heterogeneity_pressure,1,-33.36391898985413,14.699154928147644,factorized_engagement_ar_ppo_order_012,5,-1.5173231703698518,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step0,10,2
5,noop,0.3789845207226108,-35.02034378051758,heterogeneity_pressure,1,-35.39932830124019,12.847811409840533,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step1,10,0
5,noop,0.3789845207226108,-35.02034378051758,heterogeneity_pressure,1,-35.39932830124019,12.847811409840533,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step1,10,1
5,noop,0.3789845207226108,-35.02034378051758,heterogeneity_pressure,1,-35.39932830124019,12.847811409840533,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step1,10,2
