context_id,scenario,policy_seed,repeat,a_total_return_delta,a_zone_damage_delta,a_high_threat_leaks_delta,a_resource_cost_delta,b_total_return_delta,b_zone_damage_delta,b_high_threat_leaks_delta,b_resource_cost_delta,c_total_return_delta,c_zone_damage_delta,c_high_threat_leaks_delta,c_resource_cost_delta
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,10,52.41975398837954,-0.7765426889746602,0.0,0.5,25.975218541070383,-0.38849646582992586,0.0,0.5,25.975218541070383,-0.38849646582992586,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,11,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,12,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,13,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,14,27.41975398837954,-0.7765426889746601,0.0,0.5,26.68730093424518,-0.7072243064564377,-0.49971009791761345,0.0002899020823865506,26.437445885286373,-0.7072243064564377,-0.49971009791761345,0.2501449510411933
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,15,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,16,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,17,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,18,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,19,27.41975398837954,-0.7765426889746601,0.0,0.5,13.467970989010723,-0.3884964658299259,0.0,0.5,13.467970989010723,-0.3884964658299259,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,20,52.41975398837954,-0.7765426889746602,0.0,0.5,25.975218541070383,-0.38849646582992586,0.0,0.5,25.975218541070383,-0.38849646582992586,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,21,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,22,52.41975398837954,-0.7765426889746602,0.0,0.5,25.975218541070383,-0.38849646582992586,0.0,0.5,13.467970989010723,-0.3884964658299259,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,23,52.41975398837954,-0.7765426889746602,0.0,0.5,25.975218541070383,-0.38849646582992586,0.0,0.5,25.975218541070383,-0.38849646582992586,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,24,52.41975398837954,-0.7765426889746602,0.0,0.5,25.975218541070383,-0.38849646582992586,0.0,0.5,25.975218541070383,-0.38849646582992586,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,25,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,26,52.41975398837954,-0.7765426889746602,0.0,0.5,25.975218541070383,-0.38849646582992586,0.0,0.5,13.467970989010723,-0.3884964658299259,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,27,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,28,27.41975398837954,-0.7765426889746601,0.0,0.5,13.467970989010723,-0.3884964658299259,0.0,0.5,13.467970989010723,-0.3884964658299259,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,29,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,30,27.41975398837954,-0.7765426889746601,0.0,0.5,13.467970989010723,-0.3884964658299259,0.0,0.5,13.467970989010723,-0.3884964658299259,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,31,-0.5,0.0,0.0,0.5,0.09965211750113667,0.0,0.0,0.0002899020823865506,-0.15020293145767027,0.0,0.0,0.2501449510411933
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,0,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,1,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
