metric,scope,train_seed,value,variant
target_ranking_accuracy,overall,14,0.2,observation_action_only
target_ranking_count,overall,14,5,observation_action_only
top_action_accuracy,overall,14,0.0,observation_action_only
top_action_count,overall,14,1,observation_action_only
engagement_sign_accuracy,overall,14,0.0,observation_action_only
engagement_sign_count,overall,14,2,observation_action_only
ranking_accuracy,heterogeneity_pressure,14,0.0,observation_action_only
ranking_count,heterogeneity_pressure,14,4,observation_action_only
ranking_accuracy,medium,14,0.3333333333333333,observation_action_only
ranking_count,medium,14,3,observation_action_only
ranking_accuracy,time_pressure,14,0.0,observation_action_only
ranking_count,time_pressure,14,1,observation_action_only
q_mae,overall,15,10.162046357732395,observation_action_only
q_rmse,overall,15,13.322333974060774,observation_action_only
v_mae,overall,15,17.746656290159144,observation_action_only
one_step_mae,overall,15,24.616599489436968,observation_action_only
mae_improvement_vs_v,overall,15,0.4273824774885937,observation_action_only
ranking_accuracy,overall,15,0.125,observation_action_only
ranking_count,overall,15,8,observation_action_only
target_ranking_accuracy,overall,15,0.2,observation_action_only
target_ranking_count,overall,15,5,observation_action_only
top_action_accuracy,overall,15,0.0,observation_action_only
top_action_count,overall,15,1,observation_action_only
engagement_sign_accuracy,overall,15,0.0,observation_action_only
engagement_sign_count,overall,15,2,observation_action_only
ranking_accuracy,heterogeneity_pressure,15,0.0,observation_action_only
ranking_count,heterogeneity_pressure,15,4,observation_action_only
ranking_accuracy,medium,15,0.3333333333333333,observation_action_only
ranking_count,medium,15,3,observation_action_only
ranking_accuracy,time_pressure,15,0.0,observation_action_only
ranking_count,time_pressure,15,1,observation_action_only
q_mae,overall,16,10.418547469223368,observation_action_only
q_rmse,overall,16,13.605183426930234,observation_action_only
v_mae,overall,16,17.746656290159144,observation_action_only
one_step_mae,overall,16,24.616599489436968,observation_action_only
mae_improvement_vs_v,overall,16,0.4129289879242971,observation_action_only
ranking_accuracy,overall,16,0.125,observation_action_only
ranking_count,overall,16,8,observation_action_only
target_ranking_accuracy,overall,16,0.2,observation_action_only
target_ranking_count,overall,16,5,observation_action_only
top_action_accuracy,overall,16,0.0,observation_action_only
top_action_count,overall,16,1,observation_action_only
engagement_sign_accuracy,overall,16,0.0,observation_action_only
engagement_sign_count,overall,16,2,observation_action_only
ranking_accuracy,heterogeneity_pressure,16,0.0,observation_action_only
ranking_count,heterogeneity_pressure,16,4,observation_action_only
ranking_accuracy,medium,16,0.3333333333333333,observation_action_only
ranking_count,medium,16,3,observation_action_only
ranking_accuracy,time_pressure,16,0.0,observation_action_only
ranking_count,time_pressure,16,1,observation_action_only
