candidate_action,candidate_type,conditional_target_probability,frozen_v,mc_q_mean,mc_q_se,mc_q_std,one_step_reward_mean,paired_delta_vs_noop_mean,paired_delta_vs_noop_se,policy_probability,rollouts,sample_id,scenario,source_seed,split,state_id,unit_index
5,noop,0.0,-21.368650436401367,-44.469060323837425,10.191431450676466,28.825721155084732,-1.0160660624915228,0.0,0.0,0.7382973432540894,8,seed8/time_pressure/episode8/step14/unit2/action5,time_pressure,8,validation,seed8/time_pressure/episode8/step14,2
5,noop,0.0,-39.77165603637695,-19.60137639317249,8.752485565285555,24.755767581803156,1.3878361174932607,0.0,0.0,1.0,8,seed8/time_pressure/episode13/step20/unit0/action5,time_pressure,8,test,seed8/time_pressure/episode13/step20,0
1,target,0.3302863251177161,-39.77165603637695,-24.611681667054796,11.89892904685894,33.65525367156616,1.560823116089534,-8.126727223496506,10.107063230082392,0.09735967218875885,8,seed8/time_pressure/episode13/step20/unit1/action1,time_pressure,8,test,seed8/time_pressure/episode13/step20,1
3,target,0.3166157346320008,-39.77165603637695,-24.94757208947913,12.256391928550107,34.66631138223139,0.8458541103014083,-8.462617645920844,10.733615417320898,0.09332994371652603,8,seed8/time_pressure/episode13/step20/unit1/action3,time_pressure,8,test,seed8/time_pressure/episode13/step20,1
4,target,0.3530979402502831,-39.77165603637695,-14.336986004227036,7.997145387745343,22.619342935237817,2.3148584733023325,2.1479684393312493,1.2669720572796233,0.10408393293619156,8,seed8/time_pressure/episode13/step20/unit1/action4,time_pressure,8,test,seed8/time_pressure/episode13/step20,1
5,noop,0.0,-39.77165603637695,-16.484954443558284,8.206722968904005,23.212117850525672,0.6204716946604665,0.0,0.0,0.7052264213562012,8,seed8/time_pressure/episode13/step20/unit1/action5,time_pressure,8,test,seed8/time_pressure/episode13/step20,1
1,target,0.32851775711847997,-39.77165603637695,-4.694229221474384,15.811918639947825,44.722859575508316,1.1642108528574409,19.294265673416607,10.901183880676882,0.09356825798749924,8,seed8/time_pressure/episode13/step20/unit2/action1,time_pressure,8,test,seed8/time_pressure/episode13/step20,2
3,target,0.3058757673468414,-39.77165603637695,-4.431199760275305,15.910501685731452,45.00169453624282,0.8835882770939614,19.557295134615686,10.835143636928093,0.08711937814950943,8,seed8/time_pressure/episode13/step20/unit2/action3,time_pressure,8,test,seed8/time_pressure/episode13/step20,2
4,target,0.36560642321676484,-39.77165603637695,-13.37242608990039,15.455373024254676,43.714396284872485,3.031886778641866,10.616068804990602,10.608666080150332,0.10413183271884918,8,seed8/time_pressure/episode13/step20/unit2/action4,time_pressure,8,test,seed8/time_pressure/episode13/step20,2
5,noop,0.0,-39.77165603637695,-23.98849489489099,9.315079436335933,26.34702334689801,-0.1,0.0,0.0,0.715180516242981,8,seed8/time_pressure/episode13/step20/unit2/action5,time_pressure,8,test,seed8/time_pressure/episode13/step20,2
5,noop,0.0,-16.282501220703125,-18.25876398641546,10.223510788280723,28.916455223708503,-0.1830330312457614,0.0,0.0,1.0,8,seed8/time_pressure/episode8/step8/unit0/action5,time_pressure,8,train,seed8/time_pressure/episode8/step8,0
1,target,0.257816048999901,-16.282501220703125,-35.114424304815344,9.696290199498039,27.4252502096709,-2.35,-14.485483409721127,8.558413294142667,0.06799393147230148,8,seed8/time_pressure/episode8/step8/unit1/action1,time_pressure,8,train,seed8/time_pressure/episode8/step8,1
2,target,0.16271364343762304,-16.282501220703125,-35.114424304815344,9.696290199498039,27.4252502096709,-2.35,-14.485483409721127,8.558413294142667,0.04291253536939621,8,seed8/time_pressure/episode8/step8/unit1/action2,time_pressure,8,train,seed8/time_pressure/episode8/step8,1
3,target,0.2994312616421322,-16.282501220703125,-35.051924304815344,9.701072277387365,27.438775968485718,-2.2875,-14.422983409721127,8.571617369830903,0.07896912842988968,8,seed8/time_pressure/episode8/step8/unit1/action3,time_pressure,8,train,seed8/time_pressure/episode8/step8,1
4,target,0.2800389611681073,-16.282501220703125,-22.602406009775258,8.100545914189029,22.911803788944177,0.47012554802067397,-1.9734651146810442,9.381981380733848,0.07385478913784027,8,seed8/time_pressure/episode8/step8/unit1/action4,time_pressure,8,train,seed8/time_pressure/episode8/step8,1
5,noop,0.0,-16.282501220703125,-20.62894089509421,7.7296656493253755,21.862795987770767,0.20152510960413478,0.0,0.0,0.7362695932388306,8,seed8/time_pressure/episode8/step8/unit1/action5,time_pressure,8,train,seed8/time_pressure/episode8/step8,1
3,target,0.5239449408719878,-16.282501220703125,-25.183114365941716,5.214472627030175,14.748755819538673,0.23373758327161104,-2.4252059989199832,3.340993651628228,0.13162222504615784,8,seed8/time_pressure/episode8/step8/unit2/action3,time_pressure,8,train,seed8/time_pressure/episode8/step8,2
4,target,0.47605502946969264,-16.282501220703125,-13.778369788919274,6.529317287908255,18.46769812319394,2.709150657624809,8.97953857810246,6.9027047175171745,0.1195916160941124,8,seed8/time_pressure/episode8/step8/unit2/action4,time_pressure,8,train,seed8/time_pressure/episode8/step8,2
5,noop,0.0,-16.282501220703125,-22.757908367021734,6.031860949685076,17.060679122786585,-0.1,0.0,0.0,0.748786211013794,8,seed8/time_pressure/episode8/step8/unit2/action5,time_pressure,8,train,seed8/time_pressure/episode8/step8,2
5,noop,0.0,-27.448820114135742,-9.90399440663236,1.7829117592593748,5.0428359809181655,-9.90399440663236,0.0,0.0,1.0,8,seed8/time_pressure/episode2/step31/unit0/action5,time_pressure,8,train,seed8/time_pressure/episode2/step31,0
5,noop,0.0,-27.448820114135742,-9.84149440663236,1.773938176618339,5.017454856370108,-9.84149440663236,0.0,0.0,1.0,8,seed8/time_pressure/episode2/step31/unit1/action5,time_pressure,8,train,seed8/time_pressure/episode2/step31,1
2,target,1.0,-27.448820114135742,-12.165476364479563,0.0,0.0,-12.165476364479563,-0.5,0.0,0.33034807443618774,8,seed8/time_pressure/episode2/step31/unit2/action2,time_pressure,8,train,seed8/time_pressure/episode2/step31,2
5,noop,0.0,-27.448820114135742,-11.665476364479563,0.0,0.0,-11.665476364479563,0.0,0.0,0.6696519255638123,8,seed8/time_pressure/episode2/step31/unit2/action5,time_pressure,8,train,seed8/time_pressure/episode2/step31,2
0,target,0.17182410117944852,-22.217601776123047,-51.57913143634678,13.547116245010093,38.317031049476306,-0.8511171530054769,-24.741643039333596,7.4566366024704305,0.04640793800354004,8,seed8/heterogeneity_pressure/episode10/step11/unit0/action0,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode10/step11,0
1,target,0.22934766477135426,-22.217601776123047,-34.912750595015055,12.961341721863812,36.6602104992241,1.3183735675348593,-8.075262198001877,12.002287955967297,0.06194446608424187,8,seed8/heterogeneity_pressure/episode10/step11/unit0/action1,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode10/step11,0
2,target,0.3490318845025384,-22.217601776123047,-27.975473428473432,10.951885796904282,30.976610855086616,2.2744543477912393,-1.1379850314602526,10.918933342657962,0.09426995366811752,8,seed8/heterogeneity_pressure/episode10/step11/unit0/action2,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode10/step11,0
4,target,0.2497963633394426,-22.217601776123047,-54.25129172485295,9.689842089823582,27.407012201364328,2.0683004364989594,-27.413803327839762,6.419921648757699,0.06746745109558105,8,seed8/heterogeneity_pressure/episode10/step11/unit0/action4,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode10/step11,0
5,noop,0.0,-22.217601776123047,-26.837488397013182,10.943372831265464,30.95253255216175,-0.13124999999999998,0.0,0.0,0.7299101948738098,8,seed8/heterogeneity_pressure/episode10/step11/unit0/action5,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode10/step11,0
5,noop,0.0,-22.217601776123047,-64.74677276333306,7.130040824504928,20.16680086857743,1.3228289455705369,0.0,0.0,1.0,8,seed8/heterogeneity_pressure/episode10/step11/unit1/action5,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode10/step11,1
1,target,1.0,-22.217601776123047,-24.67797958259321,4.859756091771784,13.745465949617849,1.8495504364989597,25.852441424425855,5.79656822412141,0.2538762092590332,8,seed8/heterogeneity_pressure/episode10/step11/unit2/action1,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode10/step11,2
5,noop,0.0,-22.217601776123047,-50.530421007019065,8.706578738370418,24.625923467345356,2.0995504364989594,0.0,0.0,0.7461237907409668,8,seed8/heterogeneity_pressure/episode10/step11/unit2/action5,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode10/step11,2
0,target,0.25540052471775004,-26.131437301635742,-30.50098088975738,5.64280564225286,15.960264538218835,-1.9850381795860699,-1.2513048920473056,10.29174999987912,0.06477486342191696,8,seed8/heterogeneity_pressure/episode0/step1/unit0/action0,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode0/step1,0
1,target,0.22232232550996175,-26.131437301635742,-35.88354676756795,5.750785550449356,16.26567783948941,-2.9,-6.633870769857872,10.151100036902301,0.056385546922683716,8,seed8/heterogeneity_pressure/episode0/step1/unit0/action1,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode0/step1,0
2,target,0.2893643481703327,-26.131437301635742,-30.80691478418546,5.505623233270849,15.57225409161609,-1.0096286692936505,-1.5572387864753847,10.26887098227239,0.07338879257440567,8,seed8/heterogeneity_pressure/episode0/step1/unit0/action2,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode0/step1,0
4,target,0.23291283097881704,-26.131437301635742,-32.82799630926773,5.459802491384433,15.44265346238856,-1.8042809866614984,-3.5783203115576603,10.095151269693652,0.05907151848077774,8,seed8/heterogeneity_pressure/episode0/step1/unit0/action4,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode0/step1,0
5,noop,0.0,-26.131437301635742,-29.249675997710078,7.788942947405747,22.030457505542955,-0.1,0.0,0.0,0.7463792562484741,8,seed8/heterogeneity_pressure/episode0/step1/unit0/action5,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode0/step1,0
5,noop,0.0,-26.131437301635742,-21.092615876863498,1.974020481588431,5.583373074929256,-0.1,0.0,0.0,1.0,8,seed8/heterogeneity_pressure/episode0/step1/unit1/action5,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode0/step1,1
5,noop,0.0,-26.131437301635742,-32.49578688858359,6.667582695939181,18.85877175368271,-0.1,0.0,0.0,1.0,8,seed8/heterogeneity_pressure/episode0/step1/unit2/action5,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode0/step1,2
0,target,0.2546653720402101,-23.031288146972656,-30.436260355568418,5.347475547512921,15.124944887502531,-2.373496794346295,-4.697147225596879,6.65288624768758,0.06597155332565308,8,seed8/heterogeneity_pressure/episode1/step5/unit0/action0,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode1/step5,0
1,target,0.2569696134757729,-23.031288146972656,-30.84331304734183,5.075311444629802,14.355148556525705,-2.3586916892996643,-5.104199917370289,6.488334543077095,0.06656847149133682,8,seed8/heterogeneity_pressure/episode1/step5/unit0/action1,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode1/step5,0
2,target,0.1684488296592172,-23.031288146972656,-27.49134283976951,7.599716392227311,21.495243984153984,-2.3686451148069594,-1.7522297097979704,8.279053243924121,0.0436369925737381,8,seed8/heterogeneity_pressure/episode1/step5/unit0/action2,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode1/step5,0
3,target,0.3199162711076649,-23.031288146972656,-28.61579939639811,6.025736615814917,17.043356890747223,-0.9063067086607591,-2.876686266426571,6.9996331753133925,0.08287492394447327,8,seed8/heterogeneity_pressure/episode1/step5/unit0/action3,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode1/step5,0
5,noop,0.0,-23.031288146972656,-25.739113129971543,6.386191457439682,18.0628771420448,-0.1,0.0,0.0,0.7409480810165405,8,seed8/heterogeneity_pressure/episode1/step5/unit0/action5,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode1/step5,0
5,noop,0.0,-23.031288146972656,-15.780652828538255,4.738945207852273,13.403761168575343,-0.1,0.0,0.0,1.0,8,seed8/heterogeneity_pressure/episode1/step5/unit1/action5,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode1/step5,1
5,noop,0.0,-23.031288146972656,-24.654284996583918,6.506808370202256,18.40403328980561,-0.1,0.0,0.0,1.0,8,seed8/heterogeneity_pressure/episode1/step5/unit2/action5,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode1/step5,2
5,noop,0.0,-20.239990234375,-24.729141181009723,10.143884831947076,28.69123900898056,-0.47500000000000003,0.0,0.0,1.0,8,seed8/heterogeneity_pressure/episode7/step14/unit0/action5,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode7/step14,0
0,target,0.27560924332848247,-20.239990234375,-39.6628688274007,8.049961364590905,22.76872907676777,1.1812719545339396,-4.854880722457512,8.541684443612688,0.07669349014759064,8,seed8/heterogeneity_pressure/episode7/step14/unit1/action0,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode7/step14,1
1,target,0.21887387337214886,-20.239990234375,-48.14617788584031,8.031628982685511,22.71687727052535,-1.6,-13.338189780897125,8.6664493177911,0.06090579926967621,8,seed8/heterogeneity_pressure/episode7/step14/unit1/action1,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode7/step14,1
2,target,0.1923867128277604,-20.239990234375,-48.14617788584031,8.031628982685511,22.71687727052535,-1.6,-13.338189780897125,8.6664493177911,0.05353524535894394,8,seed8/heterogeneity_pressure/episode7/step14/unit1/action2,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode7/step14,1
3,target,0.3131300901473639,-20.239990234375,-42.713791578414174,7.770400959827948,21.9780128449312,0.7369741157508451,-7.905803473470991,9.15498238767289,0.08713437616825104,8,seed8/heterogeneity_pressure/episode7/step14/unit1/action3,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode7/step14,1
5,noop,0.0,-20.239990234375,-34.807988104943185,7.182894264435546,20.31629297171333,-0.1,0.0,0.0,0.7217310667037964,8,seed8/heterogeneity_pressure/episode7/step14/unit1/action5,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode7/step14,1
5,noop,0.0,-20.239990234375,-41.03832345971179,10.212623177901797,28.88566041118908,-0.1,0.0,0.0,1.0,8,seed8/heterogeneity_pressure/episode7/step14/unit2/action5,heterogeneity_pressure,8,validation,seed8/heterogeneity_pressure/episode7/step14,2
5,noop,0.0,-53.74814987182617,-15.408242774729109,0.7584902405772451,2.1453343703039436,-15.379940386374964,0.0,0.0,1.0,8,seed8/heterogeneity_pressure/episode4/step41/unit0/action5,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode4/step41,0
5,noop,0.0,-53.74814987182617,-12.455791348217529,2.7599760119731194,7.806391015913587,-13.031477982664093,0.0,0.0,1.0,8,seed8/heterogeneity_pressure/episode4/step41/unit1/action5,heterogeneity_pressure,8,train,seed8/heterogeneity_pressure/episode4/step41,1
